Algoritmo,Camino,Costo,Consumo,Duración,Approx,Config
Algoritmo del Pulso (mÃ¡ximo 3 minutos),"1, 47, 46, 898, 897, 899, 909, 908, 907, 871, 872, 906, 905, 893, 894, 895, 875, 881, 880, 332478, 332479, 332502, 332477, 332354, 332345, 332358, 419306, 419305, 419307, 419301, 419295, 419290, 419279, 419282, 419281, 419285, 419284, 419283, 419323, 419322, 419288, 419287, 419256, 419197, 419194, 419196, 419195, 419198, 419201, 419203, 419200, 419056, 419057, 419055, 419052, 419054, 416736, 413665, 413666, 419051, 419135, 419152, 419150, 419050, 419048, 419049, 419131, 419144, 419129, 419046, 419053, 418805, 418792, 418788, 418791, 418790, 418797, 418796, 418800, 418798, 418801, 418802, 418905, 429623, 418908, 418809, 418803, 418807, 428749, 418906, 418812, 418810, 416602, 418814, 418255, 418813, 419614, 419615, 428671, 418251, 418252, 428672, 428583, 428584, 418598, 418508, 428369, 418514, 418512, 418513, 428368, 418507, 418505, 418506, 418504, 418503, 418501, 418502, 418612, 418499, 418497, 418484, 418486, 418466, 418458, 418496, 418495, 418516, 418623, 418562, 418561, 427813, 427811, 427806, 427807, 429491, 427875, 427874, 427869, 427864, 427860, 427859, 11498, 2117, 2118, 11495, 11239, 11240, 11369, 11242, 11467, 11476, 11461, 458, 1072, 11443, 11449, 11453, 11205, 11206, 11702, 11703, 11718, 14201, 11704, 11705, 14443, 11224, 11225, 11700, 11698, 11690, 11689, 11697, 11699, 11692, 11693, 11694, 11650, 11649, 11651, 11662, 11660, 9543, 9542, 9548, 9547, 13118, 13117, 9509, 9508, 9507, 14422, 9499, 9498, 9512, 9513, 13114, 13115, 9574, 9575, 14276, 14275, 9101, 9100, 9099, 9102, 14303, 14306, 9140, 9135, 9118, 9119, 9076, 9075, 9153, 9152, 9074, 9073, 9072, 9071, 9069, 9772, 9741, 9051, 7915, 7914, 7890, 7889, 7891, 7892, 7849, 7842, 5855, 5854, 7835, 7827, 7826, 7716, 7717, 7714, 16497, 7688, 7677, 16687, 7423, 16688, 7413, 7414, 7419, 7418, 7457, 7460, 13150, 13148, 13149, 13147, 7212, 7214, 7984, 7191, 7190, 13153, 7189, 7159, 7158, 7157, 97539, 97540, 97541, 97537, 97503, 97505, 97513, 97557, 97556, 97510, 97508, 216869, 216861, 216860, 217078, 217090, 217877, 217867, 217868, 217858, 217838, 217839, 217840, 217841, 217842, 217853, 217832, 217831, 217833",1192604,1915785,,,Config108.txt
Algoritmo de buscar en la frontera de pareto,"1, 47, 46, 898, 897, 899, 900, 868, 869, 901, 332469, 332456, 332457, 332452, 332453, 332448, 332442, 332436, 332437, 332434, 332433, 332417, 332432, 332420, 332419, 332422, 332428, 332426, 332492, 332429, 330862, 330861, 332341, 332363, 419279, 419282, 419281, 419285, 419284, 419283, 419323, 419322, 419288, 419287, 419256, 419197, 419194, 419196, 419195, 419198, 419201, 419203, 419200, 419056, 419057, 419055, 419052, 419054, 416736, 413665, 413666, 419051, 419135, 419152, 419150, 419050, 419048, 419049, 419131, 419144, 419129, 419046, 419053, 418805, 418792, 418788, 418791, 418790, 418797, 418796, 418800, 418798, 418801, 418802, 418905, 429623, 418908, 418809, 418803, 418807, 428749, 418906, 418812, 418810, 416602, 418814, 418255, 418813, 419614, 419615, 428671, 418251, 418252, 428672, 428583, 428584, 418598, 418508, 428369, 418514, 418512, 418513, 428368, 418507, 418505, 418506, 418504, 418503, 418501, 418502, 418612, 418499, 418497, 418484, 418486, 418466, 418458, 418496, 418495, 418516, 418623, 418562, 418561, 427813, 427811, 427806, 427807, 429491, 427875, 427874, 427869, 427864, 427860, 427859, 11498, 2117, 2118, 11495, 11239, 11240, 11369, 11242, 11467, 11476, 11461, 458, 1072, 11443, 11449, 11453, 11205, 11206, 11702, 11703, 11718, 14201, 11704, 11705, 14443, 11224, 11225, 11700, 11698, 11690, 11689, 11697, 11699, 11692, 11693, 11694, 11650, 11649, 11651, 11662, 11660, 9543, 9542, 9548, 9547, 13118, 13117, 9509, 9508, 9507, 14422, 9499, 9498, 9512, 9513, 13114, 13115, 9574, 9575, 14276, 14275, 9101, 9100, 9099, 9102, 14303, 14306, 9140, 9135, 9118, 9119, 9076, 9075, 9153, 9152, 9074, 9073, 9072, 9071, 9069, 9772, 9741, 9051, 7915, 7914, 7890, 7889, 7891, 7892, 7849, 7842, 5855, 5854, 7835, 7827, 7826, 7716, 7717, 7714, 16497, 7688, 7677, 16687, 7423, 16688, 7413, 7414, 7419, 7418, 7457, 7460, 13150, 13148, 13149, 13147, 7212, 7214, 7984, 7191, 7190, 13153, 7189, 7159, 7158, 7157, 97551, 97545, 97563, 97562, 97572, 97578, 97516, 97515, 97517, 218616, 217092, 217077, 216869, 216861, 216860, 217078, 217090, 217877, 217867, 217868, 217858, 217838, 217839, 217840, 217841, 217842, 217853, 217832, 217831, 217833",1197807,1829548,,1.0043627222447686,Config108.txt
Algoritmo de los caminos disyuntos,"1, 47, 46, 898, 897, 899, 900, 868, 869, 901, 332469, 332456, 332457, 332452, 332453, 332448, 332442, 332436, 332437, 332434, 332433, 332417, 332432, 332420, 332419, 332422, 332428, 332426, 332492, 332429, 330862, 330861, 332341, 332363, 419279, 419282, 419281, 419285, 419284, 419283, 419323, 419322, 419288, 419287, 419256, 419197, 419194, 419196, 419195, 419198, 419201, 419203, 419200, 419056, 419057, 419055, 419052, 419054, 416736, 413665, 413666, 419051, 419135, 419152, 419150, 419050, 419048, 419049, 419131, 419144, 419129, 419046, 419053, 418805, 418792, 418788, 418791, 418790, 418797, 418796, 418800, 418798, 418801, 418802, 418905, 429623, 418908, 418809, 418803, 418807, 428749, 418906, 418812, 418810, 416602, 418814, 418255, 418813, 419614, 419615, 428671, 418251, 418252, 428672, 428583, 428584, 418598, 418508, 428369, 418514, 418512, 418513, 428368, 418507, 418505, 418506, 418504, 418503, 418501, 418502, 418612, 418499, 418497, 418484, 418486, 418466, 418458, 418496, 418495, 418516, 418623, 418562, 418561, 427813, 427811, 427806, 427807, 429491, 427875, 427874, 427869, 427864, 427860, 427859, 11498, 2117, 2118, 11495, 11239, 11240, 11369, 11242, 11467, 11476, 11461, 458, 1072, 11443, 11449, 11453, 11205, 11206, 11702, 11703, 11718, 14201, 11704, 11705, 14443, 11224, 11225, 11700, 11698, 11690, 11689, 11697, 11699, 11692, 11693, 11694, 11650, 11649, 11651, 11662, 11660, 9543, 9542, 9548, 9547, 13118, 13117, 9509, 9508, 9507, 14422, 9499, 9498, 9512, 9513, 13114, 13115, 9574, 9575, 14276, 14275, 9101, 9100, 9099, 9102, 14303, 14306, 9140, 9135, 9118, 9119, 9076, 9075, 9153, 9152, 9074, 9073, 9072, 9071, 9069, 9772, 9741, 9051, 7915, 7914, 7890, 7889, 7891, 7892, 7849, 7842, 5855, 5854, 7835, 7827, 7826, 7716, 7717, 7714, 16497, 7688, 7677, 16687, 7423, 16688, 7413, 7414, 7419, 7418, 7457, 7460, 13150, 13148, 13149, 13147, 7212, 7214, 7984, 7191, 7190, 13153, 7189, 7159, 7158, 7157, 97551, 97545, 97563, 97562, 97572, 97578, 97516, 97515, 110706, 97601, 97600, 217091, 216860, 216862, 217069, 217068, 217080, 217837, 217836, 217835, 217827, 217826, 217830, 217847, 217845, 217844, 217832, 217828, 217833",1198590,1842143,,1.0050192687597894,Config108.txt
edge block,"1, 47, 46, 898, 897, 899, 900, 868, 869, 901, 332469, 332456, 332457, 332452, 332453, 332448, 332442, 332436, 332437, 332434, 332433, 332417, 332432, 332420, 332419, 332422, 332428, 332426, 332492, 332429, 330862, 330861, 332341, 332363, 419279, 419282, 419281, 419285, 419284, 419283, 419323, 419322, 419288, 419287, 419256, 419197, 419194, 419196, 419195, 419198, 419201, 419203, 419200, 419056, 419057, 419055, 419052, 419054, 416736, 413665, 413666, 419051, 419135, 419152, 419150, 419050, 419048, 419049, 419131, 419144, 419129, 419046, 419053, 418805, 418792, 418788, 418791, 418790, 418797, 418796, 418800, 418798, 418801, 418802, 418905, 429623, 418908, 418809, 418803, 418807, 428749, 418906, 418812, 418810, 416602, 418814, 418255, 418813, 419614, 419615, 428671, 418251, 418252, 428672, 428583, 428584, 418598, 418508, 428369, 418514, 418512, 418513, 428368, 418507, 418505, 418506, 418504, 418503, 418501, 418502, 418612, 418499, 418497, 418484, 418486, 418466, 418458, 418496, 418495, 418516, 418623, 418562, 418561, 427813, 427811, 427806, 427807, 429491, 427875, 427874, 427869, 427864, 427860, 427859, 11498, 2117, 2118, 11495, 11239, 11240, 11369, 11242, 11467, 11476, 11461, 458, 1072, 11443, 11449, 11453, 11205, 11206, 11702, 11703, 11718, 14201, 11704, 11705, 14443, 11224, 11225, 11700, 11698, 11690, 11689, 11697, 11699, 11692, 11693, 11694, 11650, 11649, 11651, 11662, 11660, 9543, 9542, 9548, 9547, 13118, 13117, 9509, 9508, 9507, 14422, 9499, 9498, 9512, 9513, 13114, 13115, 9574, 9575, 14276, 14275, 9101, 9100, 9099, 9102, 14303, 14306, 9140, 9135, 9118, 9119, 9076, 9075, 9153, 9152, 9074, 9073, 9072, 9071, 9069, 9772, 9741, 9051, 7915, 7914, 7890, 7889, 7891, 7892, 7849, 7842, 5855, 5854, 7835, 7827, 7826, 7716, 7717, 7714, 16497, 7688, 7677, 16687, 7423, 16688, 7413, 7414, 7419, 7418, 7457, 7460, 13150, 7459, 7458, 7436, 7432, 7431, 7454, 7453, 7452, 7451, 7472, 7471, 7488, 97669, 97670, 97681, 97680, 97723, 97682, 97683, 97684, 97618, 97570, 97571, 97602, 97515, 97517, 218616, 217092, 217077, 216869, 216861, 216860, 217078, 217090, 217877, 217867, 217868, 217858, 217838, 217839, 217840, 217841, 217842, 217853, 217832, 217831, 217833",1201482,1828261,,1.0074442145087557,Config108.txt
edge penalization,"1, 47, 46, 898, 897, 899, 900, 868, 869, 901, 332469, 332456, 332457, 332452, 332453, 332448, 332442, 332436, 332437, 332434, 332433, 332417, 332432, 332420, 332419, 332422, 332428, 332426, 332492, 332429, 330862, 330861, 332341, 332363, 419279, 419282, 419281, 419285, 419284, 419283, 419323, 419322, 419288, 419287, 419256, 419197, 419194, 419196, 419195, 419198, 419201, 419203, 419200, 419056, 419057, 419055, 419052, 419054, 416736, 413665, 413666, 419051, 419135, 419152, 419150, 419050, 419048, 419049, 419131, 419144, 419129, 419046, 419053, 418805, 418792, 418788, 418791, 418790, 418797, 418796, 418800, 418798, 418801, 418802, 418905, 429623, 418908, 418809, 418803, 418807, 428749, 418906, 418812, 418810, 416602, 418814, 418255, 418813, 419614, 419615, 428671, 418251, 418252, 428672, 428583, 428584, 418598, 418508, 428369, 418514, 418512, 418513, 428368, 418507, 418505, 418506, 418504, 418503, 418501, 418502, 418612, 418499, 418497, 418484, 418486, 418466, 418458, 418496, 418495, 418516, 418623, 418562, 418561, 427813, 427811, 427806, 427807, 429491, 427875, 427874, 427869, 427864, 427860, 427859, 11498, 2117, 2118, 11495, 11239, 11240, 11369, 11242, 11467, 11476, 11461, 458, 1072, 11443, 11449, 11453, 11205, 11206, 11702, 11703, 11718, 14201, 11704, 11705, 14443, 11224, 11225, 11700, 11698, 11690, 11689, 11697, 11699, 11692, 11693, 11694, 11650, 11649, 11651, 11662, 11660, 9543, 9542, 9548, 9547, 13118, 13117, 9509, 9508, 9507, 14422, 9499, 9498, 9512, 9513, 13114, 13115, 9574, 9575, 14276, 14275, 9101, 9100, 9099, 9102, 14303, 14306, 9140, 9135, 9118, 9119, 9076, 9075, 9153, 9152, 9074, 9073, 9072, 9071, 9069, 9772, 9741, 9051, 7915, 7914, 7890, 7889, 7891, 7892, 7849, 7842, 5855, 5854, 7835, 7827, 7826, 7716, 7717, 7714, 16497, 7688, 7677, 16687, 7423, 16688, 7413, 7414, 7419, 7418, 7457, 7460, 13150, 7459, 7458, 7436, 7432, 7431, 7454, 7453, 7452, 7451, 7472, 7471, 7488, 97669, 97670, 97681, 97680, 97723, 97682, 97683, 97684, 97618, 97570, 97571, 97602, 97515, 97517, 218616, 217092, 217077, 216869, 216861, 216860, 217078, 217090, 217877, 217867, 217868, 217858, 217838, 217839, 217840, 217841, 217842, 217853, 217832, 217831, 217833",1201482,1828261,,1.0074442145087557,Config108.txt
