Algoritmo,Camino,Costo,Consumo,Duración,Approx,Config
Algoritmo del Pulso (mÃ¡ximo 3 minutos),"1, 176, 175, 311, 188, 187, 305, 248702, 248453, 248452, 248450, 248439, 248443, 248442, 248467, 248466, 248470, 248595, 248697, 249650, 249654, 259583, 249656, 249655, 249962, 249963, 249964, 249977, 249980, 249982, 247155, 247156, 250067, 250081, 250085, 250087, 250088, 250096, 250099, 250098, 251089, 251116, 251126, 251125, 251134, 251136, 251139, 251140, 251142, 251149, 251155, 251153, 251152, 251157, 251218, 245908, 251214, 251248, 251247, 251253, 252201, 252200, 251258, 251257, 251485, 251483, 251477, 251480, 251482, 251490, 251487, 251488, 252350, 251398, 251394, 251382, 251397, 251387, 251389, 251393, 251430, 251428, 251406, 251370, 251408, 251409, 251417, 251415, 251413, 251324, 251323, 251333, 251334, 251335, 251336, 247008, 251332, 251331, 251329, 251328, 250906, 250905, 250918, 250915, 250910, 250913, 250911, 250912, 248761, 248763, 248769, 248787, 248790, 246919, 248805, 248804, 248802, 248799, 248798, 246916, 248797, 248795, 248796, 248882, 248794, 248793, 248792, 248791, 248789, 248786, 248785, 248778, 248770, 248767, 248768, 248856, 248858, 580, 569, 507, 509, 498, 499, 500, 487, 489, 477, 478, 469, 470, 30, 31, 468, 21, 20",443338,812742,,,Config127.txt
Algoritmo de buscar en la frontera de pareto,"1, 176, 175, 311, 188, 187, 305, 248702, 248453, 248452, 248450, 248439, 248443, 248442, 248467, 248466, 248470, 248595, 248697, 249650, 249654, 259583, 249656, 249655, 249962, 249963, 249964, 249977, 249980, 249982, 247155, 247156, 250067, 250081, 250085, 250087, 250088, 250096, 250099, 250098, 251089, 251116, 251126, 251125, 251134, 251136, 251139, 251140, 251142, 251149, 251155, 251153, 251152, 251157, 251218, 245908, 251214, 251248, 251247, 251253, 252201, 252200, 251258, 251257, 251485, 251483, 251477, 251475, 251381, 251375, 251376, 251203, 248591, 251363, 251361, 251362, 251356, 251366, 251295, 251368, 251371, 251370, 251408, 251409, 251417, 251415, 251413, 251324, 251323, 251333, 251334, 251335, 251336, 247008, 251332, 251331, 251329, 251328, 250906, 250905, 250918, 250915, 250910, 250913, 250911, 250912, 248761, 248763, 248769, 248787, 248790, 246919, 248805, 248804, 248802, 248799, 248798, 246916, 248797, 248795, 248796, 248882, 248794, 248793, 248792, 248791, 248789, 248786, 248785, 248778, 248770, 248767, 248768, 248856, 248858, 580, 569, 507, 509, 498, 499, 500, 487, 489, 477, 478, 469, 470, 30, 31, 468, 21, 20",446238,807279,,1.006541284527832,Config127.txt
Algoritmo de los caminos disyuntos,"1, 176, 175, 311, 188, 187, 305, 248702, 248453, 248452, 248450, 248439, 248443, 248442, 248467, 248466, 248470, 248595, 248697, 249650, 249654, 259583, 249656, 249655, 249962, 249963, 249964, 249977, 249980, 249982, 247155, 247156, 250067, 250081, 250086, 250090, 250092, 250143, 251131, 251860, 251913, 259585, 251954, 251955, 252114, 252113, 252115, 252127, 252166, 252168, 252169, 252184, 252175, 252191, 252187, 252206, 252210, 252225, 252360, 250402, 250401, 252433, 252432, 252479, 252480, 252482, 255526, 255527, 255532, 255533, 255542, 256152, 256153, 256154, 256155, 256156, 256160, 256159, 256162, 256172, 256173, 256174, 246094, 256203, 256208, 256211, 250317, 256212, 256210, 256209, 256206, 256205, 253248, 253245, 253276, 253267, 253266, 253227, 253224, 253225, 253217, 253208, 253216, 260214, 253135, 253131, 253132, 253133, 247025, 247026, 253344, 253334, 253333, 253303, 253298, 253294, 252874, 252869, 252824, 252825, 252821, 252699, 252703, 252675, 252672, 252673, 252671, 252571, 252570, 251744, 251735, 246980, 246981, 251739, 251713, 251711, 251705, 251618, 251614, 251613, 251610, 251589, 251608, 251591, 251593, 251638, 251631, 245792, 245793, 247002, 253858, 248738, 253859, 253847, 253860, 253865, 253866, 253852, 253746, 253747, 253769, 253765, 253766, 253886, 261703, 253764, 253757, 253750, 250969, 253748, 245777, 245778, 253733, 250961, 250958, 250959, 250956, 250950, 260390, 248969, 248170, 248171, 250911, 250912, 248761, 248763, 248769, 248787, 248790, 246919, 248805, 248804, 248802, 248799, 248798, 246916, 248797, 248795, 248796, 248882, 248794, 248793, 248792, 248791, 248789, 248786, 248785, 248778, 248770, 248767, 248768, 248856, 248858, 580, 569, 507, 509, 498, 499, 500, 487, 489, 477, 478, 469, 470, 30, 31, 468, 21, 20",542480,772277,,1.2236262174683876,Config127.txt
edge block,"1, 176, 175, 311, 188, 187, 305, 248702, 248453, 248452, 248450, 248439, 248443, 248442, 248467, 248466, 248470, 248595, 248697, 249650, 249654, 259583, 249656, 249655, 249962, 249963, 249964, 249977, 249980, 249982, 247155, 247156, 250067, 250081, 250086, 250090, 250092, 250143, 251131, 251860, 251913, 259585, 251954, 251955, 252114, 252113, 252115, 252127, 252166, 252168, 252169, 252184, 252175, 252191, 252187, 252206, 252210, 252225, 252360, 250402, 250401, 252433, 252432, 252479, 252480, 252482, 255526, 255527, 255532, 255533, 255542, 256152, 256153, 256154, 256155, 256156, 256160, 256159, 256162, 256172, 256173, 256174, 246094, 256203, 256208, 256211, 250317, 256212, 256210, 256209, 256206, 256205, 253248, 253245, 253276, 253267, 253266, 253227, 253224, 253225, 253217, 253208, 253216, 260214, 253135, 253131, 253132, 253133, 247025, 247026, 253344, 253334, 253333, 253303, 253298, 253294, 252874, 252869, 252824, 252825, 252821, 252699, 252703, 252675, 252672, 252673, 252671, 252571, 252570, 251744, 251735, 246980, 246981, 251739, 251713, 251711, 251705, 251618, 251614, 251613, 251610, 251589, 251608, 251591, 251593, 251638, 251631, 245792, 245793, 247002, 253858, 248738, 253859, 253847, 253860, 253865, 253866, 253852, 253746, 253747, 253769, 253765, 253766, 253886, 261703, 253764, 253757, 253750, 250969, 253748, 245777, 245778, 253733, 250961, 250958, 250959, 250956, 250950, 260390, 248969, 248170, 248171, 250911, 250912, 248761, 248763, 248769, 248787, 248790, 246919, 248805, 248804, 248802, 248799, 248798, 246916, 248797, 248795, 248796, 248882, 248794, 248793, 248792, 248791, 248789, 248786, 248785, 248778, 248770, 248767, 248768, 248856, 248858, 580, 569, 507, 509, 498, 499, 500, 487, 489, 477, 478, 469, 470, 30, 31, 468, 21, 20",542480,772277,,1.2236262174683876,Config127.txt
edge penalization,"1, 176, 175, 311, 188, 187, 305, 248702, 248453, 248452, 248450, 248439, 248443, 248442, 248467, 248466, 248470, 248595, 248697, 249650, 249654, 259583, 249656, 249655, 249962, 249963, 249964, 249977, 249980, 249982, 247155, 247156, 250067, 250081, 250086, 250090, 250092, 250143, 251131, 251860, 251913, 259585, 251954, 251955, 252114, 252113, 252115, 252127, 252166, 252168, 252169, 252184, 252175, 252191, 252187, 252206, 252210, 252225, 252360, 250402, 250401, 252433, 252432, 252479, 252480, 252482, 255526, 255527, 255532, 255533, 255542, 256152, 256153, 256154, 256155, 256156, 256160, 256159, 256162, 256172, 256173, 256174, 246094, 256203, 256208, 256211, 250317, 256212, 256210, 256209, 256206, 256205, 253248, 253245, 253276, 253267, 253266, 253227, 253224, 253225, 253217, 253208, 253216, 260214, 253135, 253131, 253132, 253133, 247025, 247026, 253344, 253334, 253333, 253303, 253298, 253294, 252874, 252869, 252824, 252825, 252821, 252699, 252703, 252675, 252672, 252673, 252671, 252571, 252570, 251744, 251735, 246980, 246981, 251739, 251713, 251711, 251705, 251618, 251614, 251613, 251610, 251589, 251608, 251591, 251593, 251638, 251631, 245792, 245793, 247002, 253858, 248738, 253859, 253847, 253860, 253865, 253866, 253852, 253746, 253747, 253769, 253765, 253766, 253886, 261703, 253764, 253757, 253750, 250969, 253748, 245777, 245778, 253733, 250961, 250958, 250959, 250956, 250950, 260390, 248969, 248170, 248171, 250911, 250912, 248761, 248763, 248769, 248787, 248790, 246919, 248805, 248804, 248802, 248799, 248798, 246916, 248797, 248795, 248796, 248882, 248794, 248793, 248792, 248791, 248789, 248786, 248785, 248778, 248770, 248767, 248768, 248856, 248858, 580, 569, 507, 509, 498, 499, 500, 487, 489, 477, 478, 469, 470, 30, 31, 468, 21, 20",542480,772277,,1.2236262174683876,Config127.txt
