Algoritmo,Camino,Costo,Consumo,Duración,Approx,Config
Algoritmo del Pulso (mÃ¡ximo 3 minutos),"1, 2, 7, 6, 22888, 22887, 22882, 827, 828, 1058951, 22877, 1058947, 22869, 22860, 1058938, 22850, 22756, 22755, 1285, 1282, 1271, 1267, 868, 869, 1269, 1259, 1255, 1257, 1268, 1238, 1234",68319,132769,,,Config176.txt
Algoritmo de buscar en la frontera de pareto,"1, 2, 7, 6, 22888, 22887, 22882, 827, 828, 1058951, 22877, 1058947, 22869, 22860, 1058938, 22850, 22756, 22755, 1285, 1282, 1271, 1267, 868, 869, 1269, 1259, 1255, 1257, 1268, 1238, 1234",68319,132769,,1.0,Config176.txt
Algoritmo de los caminos disyuntos,"1, 2, 22954, 22888, 22887, 22882, 827, 828, 1058951, 22877, 1058947, 22869, 22860, 1058938, 22850, 22756, 22755, 1285, 1282, 1271, 1267, 868, 869, 1269, 1259, 1255, 1257, 1268, 1238, 1234",68594,132725,,1.0040252345613958,Config176.txt
edge block,"1, 2, 22954, 22888, 22887, 22882, 827, 828, 1058951, 22877, 1058947, 22869, 22860, 1058938, 22850, 22756, 22755, 1285, 1282, 1271, 1267, 868, 869, 1269, 1259, 1255, 1257, 1268, 1238, 1234",68594,132725,,1.0040252345613958,Config176.txt
edge penalization,"1, 2, 22954, 22888, 22887, 22882, 827, 828, 1058951, 22877, 1058947, 22869, 22860, 1058938, 22850, 22756, 22755, 1285, 1282, 1271, 1267, 868, 869, 1269, 1259, 1255, 1257, 1268, 1238, 1234",68594,132725,,1.0040252345613958,Config176.txt
