Algoritmo,Camino,Costo,Consumo,Duración,Approx,Config
Algoritmo del Pulso (mÃ¡ximo 3 minutos),"1, 2, 22981, 1059019, 1058959, 22889, 1058960, 80048, 80037, 80047, 80049, 80050, 1085006, 1085008, 80281, 80287, 80289, 1085011, 1085012, 80291, 80292, 1085065, 80396, 80403, 80405, 80409, 80433, 1085078, 80447, 80452, 1085079, 1085080, 80603, 80602, 1085125, 1084548, 1084547, 79309, 79313, 1084552, 79314, 1084553, 79336, 79339, 1084569, 73407, 79341, 1084622, 79420, 1084623, 79419, 79418, 1084625, 79423, 1084626, 79425, 1084642, 79458, 62703, 62702, 1077026, 62752, 62765, 1077066, 1077067, 62727, 62726, 62729, 62733, 62730, 62731, 1077045, 1077048, 1077340, 63400, 63486, 1077362, 63496, 63516, 63787, 63781, 63814, 63813, 63815, 63825, 63827, 63878, 63877, 1077547, 1076977, 62626, 69794, 69797, 1080220, 69802, 69803, 69788, 69785, 69820, 1080236, 69821, 69826, 69832, 69871, 69879, 1080269, 1080275, 73599, 73601, 73612, 73613, 73614, 1081995, 73619, 1081996, 1081986, 1081987, 74154, 74157, 1082225, 74169, 74171, 1082232, 74196, 74197, 74215, 74217, 74218, 74311, 74219",276352,315939,,,Config182.txt
Algoritmo de buscar en la frontera de pareto,"1, 2, 22981, 1059019, 1058959, 22889, 1058960, 80048, 80037, 80047, 80049, 80050, 1085006, 1085008, 80281, 80287, 80289, 1085011, 1085012, 80291, 80292, 1085065, 80396, 80403, 80405, 80409, 80433, 1085078, 80447, 80452, 1085079, 1085080, 80603, 80602, 1085125, 1084548, 1084547, 79309, 79313, 1084552, 79314, 1084553, 79336, 79339, 1084569, 73407, 79341, 1084622, 79420, 1084623, 79419, 79418, 1084625, 79423, 1084626, 79425, 1084642, 79458, 62703, 62702, 1077026, 62752, 62765, 1077066, 1077067, 62727, 62726, 62729, 62733, 62730, 62731, 1077045, 1077048, 1077340, 63400, 63486, 1077362, 63496, 63516, 63787, 63781, 63814, 63813, 63815, 63825, 63827, 63878, 63877, 1077547, 1076977, 62626, 69794, 69797, 1080220, 69802, 69803, 69788, 69785, 69820, 1080236, 69821, 69826, 69832, 69871, 69879, 1080269, 1080275, 73599, 73601, 73612, 73613, 73614, 1081995, 73619, 1081996, 1081986, 1081987, 74154, 74157, 1082225, 74169, 74171, 1082232, 74196, 74197, 74215, 74217, 74218, 74311, 74219",276352,315939,,1.0,Config182.txt
Algoritmo de los caminos disyuntos,"1, 2, 22981, 1059019, 1058959, 22889, 1058960, 80048, 80037, 80047, 80049, 80050, 1085006, 1085008, 80281, 80287, 80289, 1085011, 1085012, 80291, 80292, 1085065, 80396, 80403, 80405, 80409, 80433, 1085078, 80447, 80452, 1085079, 1085080, 80603, 80602, 1085125, 1084548, 1084547, 79309, 79313, 1084552, 79314, 1084553, 79336, 79339, 1084569, 73407, 79341, 1084622, 79420, 1084623, 79419, 79418, 1084625, 79423, 1084626, 79425, 1084642, 79458, 62703, 62702, 1077026, 62752, 62765, 1077066, 1077067, 62727, 62726, 62729, 62733, 62730, 62731, 1077045, 1077048, 1077340, 63400, 63486, 1077362, 63496, 63516, 63787, 63781, 63814, 63813, 63815, 63825, 63827, 63878, 63877, 1077547, 1076977, 62626, 69794, 69797, 1080220, 69802, 69803, 69788, 69785, 69820, 1080236, 69821, 69826, 69832, 69871, 69879, 1080269, 1080275, 73599, 73601, 73612, 73613, 73614, 1081995, 73619, 1081996, 1081986, 1081987, 74154, 74157, 1082225, 74169, 74171, 1082232, 74196, 74197, 74215, 74217, 74218, 74311, 74219",276352,315939,,1.0,Config182.txt
edge block,"1, 2, 22981, 1059019, 1058959, 22889, 1058960, 80048, 80037, 80047, 80049, 80050, 1085006, 1085008, 80281, 80287, 80289, 1085011, 1085012, 80291, 80292, 1085065, 80396, 80403, 80405, 80409, 80433, 1085078, 80447, 80452, 1085079, 1085080, 80603, 80602, 1085125, 1084548, 1084547, 79309, 79313, 1084552, 79314, 1084553, 79336, 79339, 1084569, 73407, 79341, 1084622, 79420, 1084623, 79419, 79418, 1084625, 79423, 1084626, 79425, 1084642, 79458, 62703, 62702, 1077026, 62752, 62765, 1077066, 1077067, 62727, 62726, 62729, 62733, 62730, 62731, 1077045, 1077048, 1077340, 63400, 63486, 1077362, 63496, 63516, 63787, 63781, 63814, 63813, 63815, 63825, 63827, 63878, 63877, 1077547, 1076977, 62626, 69794, 69797, 1080220, 69802, 69803, 69788, 69785, 69820, 1080236, 69821, 69826, 69832, 69871, 69879, 1080269, 1080275, 73599, 73601, 73612, 73613, 73614, 1081995, 73619, 1081996, 1081986, 1081987, 74154, 74157, 1082225, 74169, 74171, 1082232, 74196, 74197, 74215, 74217, 74218, 74311, 74219",276352,315939,,1.0,Config182.txt
edge penalization,"1, 2, 22981, 1059019, 1058959, 22889, 1058960, 80048, 80037, 80047, 80049, 80050, 1085006, 1085008, 80281, 80287, 80289, 1085011, 1085012, 80291, 80292, 1085065, 80396, 80403, 80405, 80409, 80433, 1085078, 80447, 80452, 1085079, 1085080, 80603, 80602, 1085125, 1084548, 1084547, 79309, 79313, 1084552, 79314, 1084553, 79336, 79339, 1084569, 73407, 79341, 1084622, 79420, 1084623, 79419, 79418, 1084625, 79423, 1084626, 79425, 1084642, 79458, 62703, 62702, 1077026, 62752, 62765, 1077066, 1077067, 62727, 62726, 62729, 62733, 62730, 62731, 1077045, 1077048, 1077340, 63400, 63486, 1077362, 63496, 63516, 63787, 63781, 63814, 63813, 63815, 63825, 63827, 63878, 63877, 1077547, 1076977, 62626, 69794, 69797, 1080220, 69802, 69803, 69788, 69785, 69820, 1080236, 69821, 69826, 69832, 69871, 69879, 1080269, 1080275, 73599, 73601, 73612, 73613, 73614, 1081995, 73619, 1081996, 1081986, 1081987, 74154, 74157, 1082225, 74169, 74171, 1082232, 74196, 74197, 74215, 74217, 74218, 74311, 74219",276352,315939,,1.0,Config182.txt
