Algoritmo,Camino,Costo,Consumo,Duración,Approx,Config
Algoritmo del Pulso (mÃ¡ximo 1 minutos),"1, 308, 309, 3, 4, 69, 33190, 33189, 33188, 33187, 33196, 33199, 33179, 33178, 33197, 33194, 33193, 33192, 33159, 33158, 33155, 33154, 32912, 32881, 32880, 32910, 32911, 32889, 32888, 32330, 30663, 30665, 30666, 32298, 32299, 32300, 37892, 22172, 22173, 37081, 37083, 38005, 38009, 38010, 38014, 37088, 36825, 32331, 32332, 31294, 31290, 31268, 31260, 31261, 32271, 31087, 31088, 31074, 31075, 31080, 20416, 20417, 31257, 31081, 31085, 31084, 20470, 20469, 20479, 31067, 31068, 31069, 34107, 20585, 20586, 20594, 20593, 36712, 36710, 20570, 20571, 20385, 20390, 20395, 16493, 16473, 16472, 20687, 39115, 20382, 20380, 20379, 20365, 20366, 20352, 20353, 20348, 15595, 15596, 20350, 20077, 20082, 20345, 20170, 20171, 20172, 715, 716, 20022, 20021, 20020, 20017, 20018, 19753, 19754, 19968, 19629, 19628, 19627, 19523, 19437, 19447, 19525, 19526, 33814, 33812, 19475, 19476, 19470, 19471, 68340, 67992, 67989, 67988, 67826, 67825, 70578, 70577, 67287, 67254, 67047, 67046, 67043, 43013, 43012, 67031, 66632, 62691, 62690, 66320, 43612, 43611, 66254, 66253, 66245, 66172, 66171, 66167, 66166, 66158, 66157, 65983, 70608, 66145, 66142, 66141, 66135, 66084, 65930, 65924, 65915, 65899, 65898, 65870, 65863, 65861, 65393, 65392, 72679, 76324, 65279, 65267, 65216, 65214, 65206, 65205, 65203, 65165, 65164, 65154, 65008, 65006, 64773, 64774, 64754, 64751, 64750, 64749, 64730, 64729, 64728, 64660, 64657, 64598, 64595, 64591, 64590, 64574, 64565, 64554, 64521, 59423, 59425, 59424, 59422, 59410, 59398, 59392, 59376, 59375, 59374, 59373, 59360, 59358, 59357, 59354, 54446, 54443, 54437, 54435, 54434, 54433, 54425, 54418, 54417, 54412, 54408, 42373, 54146, 54144, 54141, 54142, 54135, 54153, 54152, 70598, 70597, 54121, 54120, 58787, 58777, 58776, 58774, 58757, 58756, 58754, 58748, 57514, 57513, 57510, 57501, 57500, 57462, 57461, 57450, 57445, 57153, 41026, 41025, 57146, 57145, 57144, 52489, 52487, 52485, 52456, 52455, 52452, 52450, 52448, 52410, 50782, 50772, 50771, 50770, 50767, 50765, 50752, 50748, 50747, 70595, 44220, 44211, 44210, 44208, 44207, 44170, 44165, 44164, 44035, 44034, 44030, 44029, 44027, 44023, 44010, 43590, 43589, 43588, 43587, 271183, 271181, 271182, 271180, 271178, 271176, 271175, 271173, 271174, 271140, 271141, 271101, 271109, 271106, 271121, 271186, 271118, 271185, 269854, 269844, 269843, 269848, 269847, 269840, 269839, 272936, 272927, 272926, 272924, 272921, 272920, 272916, 272915, 272909, 272905, 272902, 272901, 272379, 272380, 280731, 272350, 272351, 272349, 272337, 272338, 272336, 272321, 272322, 272320, 272326, 272317, 272318, 272330, 272285, 272286, 272291, 272294, 272308, 272309, 272702, 280501, 280502, 280500, 279227, 272712, 272713, 272717, 272718, 281224, 272726, 272724, 272456, 272469, 272470, 272629, 272639, 272640, 272651, 272656, 272657, 281220, 272655, 274879, 274895, 274893, 274894, 274704, 274705, 279306, 274746, 274747, 274739, 274740, 274779, 275255, 275259, 273112, 273104, 273105, 273101, 273102, 273098, 273099, 280470, 273053, 273051, 273050, 273081, 273078, 273079, 273080, 273087, 273059, 273063, 273064, 273065, 273077, 273737, 273738, 273747, 273750, 273751, 273757, 273758, 273759, 273760, 273761, 273774, 273776, 273779, 267709, 267710, 273812, 273824, 273827, 273832, 273839, 273840, 273841, 273843, 273904, 273925, 267635, 273974, 273953, 273965, 274011, 274081, 274113, 274057, 274117, 274118, 274119, 274115",1117300,1580800,,,config_BAY27411504.txt
Algoritmo de buscar en la frontera de pareto,"1, 308, 309, 3, 4, 69, 33190, 33189, 33188, 33187, 33196, 33199, 33179, 33178, 33197, 33194, 33193, 33192, 33159, 33158, 33155, 33154, 32912, 32881, 32909, 32908, 32913, 33147, 32874, 32873, 32879, 25936, 25935, 37776, 37982, 33054, 33053, 33023, 33022, 25834, 25835, 25836, 33019, 33018, 33017, 32728, 32727, 19520, 19519, 19522, 19521, 37019, 32683, 32682, 32689, 32688, 32971, 32970, 32969, 32961, 32957, 32958, 21373, 21372, 21364, 21317, 21316, 21312, 21309, 21307, 21285, 21194, 21196, 21246, 21081, 21058, 21059, 21089, 21091, 21090, 21076, 21080, 21072, 21071, 21073, 21074, 20835, 20836, 37752, 20834, 20738, 20735, 20712, 20711, 20709, 20699, 20691, 20690, 20692, 20696, 20686, 20282, 20281, 20283, 20680, 20681, 20682, 20684, 20636, 20635, 20552, 20497, 431, 430, 432, 20504, 16114, 16113, 20356, 20355, 4662, 4661, 15613, 15612, 20340, 20346, 20172, 20059, 20058, 20075, 20074, 20076, 20073, 19184, 19185, 19974, 19967, 19660, 19626, 19437, 19447, 19525, 19526, 33814, 33812, 19475, 19476, 19470, 19471, 68340, 67992, 67989, 67988, 67826, 67825, 70578, 70577, 67287, 67254, 67047, 67046, 67043, 43013, 43012, 67031, 66632, 62691, 62690, 66320, 43612, 43611, 66254, 66253, 66245, 66172, 66171, 66167, 66166, 66158, 66157, 65983, 70608, 66145, 66142, 66141, 66135, 66084, 65930, 65924, 65915, 65899, 65898, 65870, 65863, 65861, 65393, 65392, 72679, 76324, 65279, 65267, 65216, 65214, 65206, 65205, 65203, 65165, 65164, 65154, 65008, 65006, 64773, 64774, 64754, 64751, 64750, 64749, 64730, 64729, 64728, 64660, 64657, 64598, 64595, 64591, 64590, 64574, 64565, 64554, 64521, 59423, 59425, 59424, 59422, 59410, 59398, 59392, 59376, 59375, 59374, 59373, 59360, 59358, 59357, 59354, 54446, 54443, 54437, 54435, 54434, 54433, 54425, 54418, 54417, 54412, 54408, 42373, 54146, 54144, 54141, 54142, 54135, 54153, 54152, 70598, 70597, 54121, 54120, 58787, 58777, 58776, 58774, 58757, 58756, 58754, 58748, 57514, 57513, 57510, 57501, 57500, 57462, 57461, 57450, 57445, 57153, 41026, 41025, 57146, 57145, 57144, 52489, 52487, 52485, 52456, 52455, 52452, 52450, 52448, 52410, 50782, 50772, 50771, 50770, 50767, 50765, 50752, 50748, 50747, 70595, 44220, 44211, 44210, 44208, 44207, 44170, 44165, 44164, 44035, 44034, 44030, 44029, 44027, 44023, 44010, 43590, 43589, 43588, 43587, 271183, 271181, 271182, 271180, 271178, 271176, 271175, 271173, 271174, 271140, 271141, 271101, 271109, 271106, 271121, 271186, 271118, 271185, 269854, 269844, 269843, 269848, 269847, 269840, 269839, 272936, 272927, 272926, 272924, 272921, 272920, 272916, 272915, 272909, 272905, 272902, 272901, 272379, 272380, 280731, 272350, 272351, 272349, 272337, 272338, 272336, 272321, 272322, 272320, 272326, 272317, 272318, 272330, 272285, 272286, 272291, 272294, 272308, 272309, 272702, 280501, 280502, 280500, 279227, 272712, 272713, 272717, 272718, 281224, 272726, 272724, 272456, 272469, 272470, 272629, 272639, 272640, 272651, 272656, 272657, 281220, 272655, 274879, 274895, 274893, 274894, 274704, 274705, 279306, 274746, 274747, 274739, 274740, 274779, 275255, 275259, 273112, 273104, 273105, 273101, 273102, 273098, 273099, 280470, 273053, 273051, 273050, 273081, 273078, 273079, 273080, 273087, 273059, 273063, 273064, 273065, 273077, 273737, 273738, 273747, 273750, 273751, 273757, 273758, 273759, 273760, 273761, 273774, 273776, 273779, 267709, 267710, 273812, 273824, 273827, 273832, 273839, 273840, 273841, 273843, 273904, 273925, 267635, 273974, 273953, 273965, 274011, 274081, 274113, 274057, 274117, 274118, 274119, 274115",1130039,1424751,,1.0114015931262865,config_BAY27411504.txt
Algoritmo de los caminos disyuntos,"1, 308, 33164, 32883, 32886, 33175, 32425, 32426, 32869, 32870, 32871, 33524, 38947, 31411, 31412, 31413, 31414, 31415, 31430, 31431, 31432, 31448, 31449, 31267, 31450, 31433, 31056, 31057, 31059, 31125, 31034, 31035, 31033, 31026, 31027, 31028, 31039, 31018, 31017, 31002, 31003, 30795, 30796, 30797, 30803, 30802, 25298, 25299, 38432, 39211, 39212, 37883, 37882, 37868, 37867, 37870, 30583, 30582, 30590, 30591, 20173, 20092, 20093, 19699, 19704, 19709, 20071, 20072, 20073, 19184, 19185, 19974, 19967, 19660, 19626, 19437, 19447, 19525, 19526, 33814, 33812, 19475, 19476, 19470, 19471, 68340, 67992, 67989, 67988, 67826, 67825, 70578, 70577, 67287, 67254, 67047, 67046, 67043, 43013, 43012, 67031, 66632, 62691, 62690, 66320, 43612, 43611, 66254, 66253, 66245, 66172, 66171, 66167, 66166, 66158, 66157, 65983, 70608, 66145, 66142, 66141, 66135, 66084, 65930, 65924, 65915, 65899, 65898, 65870, 65863, 65861, 65393, 65392, 72679, 76324, 65279, 65267, 65216, 65214, 65206, 65205, 65203, 65165, 65164, 65154, 65008, 65006, 64773, 64774, 64754, 64751, 64750, 64749, 64730, 64729, 64728, 64660, 64657, 64598, 64595, 64591, 64590, 64574, 64565, 64554, 64521, 59423, 59409, 59407, 59401, 59395, 54592, 54586, 54584, 54581, 54580, 54568, 54304, 54303, 54483, 54477, 54476, 54471, 54470, 54469, 54397, 54395, 54398, 54391, 54385, 54389, 54405, 54145, 54143, 54141, 54142, 54135, 54153, 54152, 70598, 70597, 54121, 54120, 58787, 58777, 58776, 58774, 58757, 58756, 58754, 58748, 57514, 57513, 57510, 57501, 57500, 57462, 57461, 57450, 57445, 57153, 41026, 41025, 57146, 57145, 57144, 52489, 52487, 52485, 52456, 52455, 52452, 52450, 52448, 52410, 50782, 50772, 50771, 50770, 50767, 50765, 50752, 50748, 50747, 70595, 44220, 44211, 44210, 44208, 44207, 44170, 44165, 44164, 44035, 44034, 44030, 44029, 44027, 44023, 44010, 43590, 43589, 43588, 43587, 271183, 271181, 271182, 271180, 271178, 271176, 271175, 271173, 271174, 271140, 271141, 271101, 271109, 271106, 271121, 271186, 271118, 271185, 269854, 269844, 269843, 269848, 269847, 269840, 269839, 272936, 272927, 272926, 272924, 272921, 272920, 272916, 272915, 272909, 272905, 272902, 272901, 272379, 272380, 280731, 272350, 272351, 272349, 272337, 272338, 272336, 272321, 272322, 272320, 272326, 272317, 272318, 272330, 272285, 272286, 272291, 272294, 272308, 272309, 272702, 280501, 280502, 280500, 279227, 272712, 272713, 272717, 272718, 281224, 272726, 272724, 272456, 272469, 272470, 272629, 272639, 272640, 272651, 272656, 272657, 281220, 272655, 274879, 274895, 274893, 274894, 274704, 274705, 279306, 274746, 274747, 274739, 274740, 274779, 275255, 275259, 273112, 273104, 273105, 273101, 273102, 273098, 273099, 280470, 273053, 273051, 273050, 273081, 273078, 273079, 273080, 273087, 273059, 273063, 273064, 273065, 273077, 273737, 273738, 273747, 273750, 273751, 273757, 273758, 273759, 273760, 273761, 273774, 273776, 273779, 267709, 267710, 273812, 273824, 273827, 273832, 273839, 273840, 273841, 273843, 273904, 273925, 267635, 273974, 273953, 273965, 274011, 274081, 274113, 274057, 274117, 274118, 274119, 274115",1168396,1377090,,1.0457316745726304,config_BAY27411504.txt
edge block,"1, 308, 309, 3, 4, 69, 33190, 33189, 33188, 33187, 33196, 33199, 33179, 33178, 33197, 33194, 33193, 33192, 33159, 33158, 33155, 33154, 32912, 32881, 32909, 32908, 32913, 33147, 32874, 32873, 32879, 25936, 25935, 37776, 37982, 33054, 33053, 33023, 33022, 25834, 25835, 25836, 33019, 33018, 33017, 32728, 32727, 19520, 19519, 19522, 19521, 37019, 32683, 32682, 32689, 32688, 32971, 32970, 32969, 32961, 32957, 32958, 21373, 21372, 21364, 21317, 21316, 21312, 21309, 21307, 21285, 21194, 21196, 21246, 21081, 21058, 21059, 21089, 21091, 21090, 21076, 21080, 21072, 21071, 21073, 21074, 20835, 20836, 37752, 20834, 20738, 20735, 20712, 20711, 20709, 20699, 20691, 20690, 20692, 20696, 20686, 20282, 20281, 20283, 20680, 20681, 20682, 20684, 20636, 20635, 20552, 20497, 431, 430, 432, 20504, 16114, 16113, 20356, 20355, 4662, 4661, 15613, 15612, 20340, 20346, 20172, 20059, 20058, 20075, 20074, 20076, 20073, 19184, 19185, 19974, 19967, 19660, 19626, 19437, 19447, 19525, 19526, 33814, 33812, 19475, 19476, 19470, 19471, 68340, 67992, 67989, 67988, 67826, 67825, 70578, 70577, 67287, 67254, 67047, 67046, 67043, 43013, 43012, 67031, 66632, 62691, 62690, 66320, 43612, 43611, 66254, 66253, 66245, 66172, 66171, 66167, 66166, 66158, 66157, 65983, 70608, 66145, 66142, 66141, 66135, 66084, 65930, 65924, 65915, 65899, 65898, 65870, 65863, 65861, 65393, 65392, 72679, 76324, 65279, 65267, 65216, 65214, 65206, 65205, 65203, 65165, 65164, 65154, 65008, 65006, 64773, 64774, 64754, 64751, 64750, 64749, 64730, 64729, 64728, 64660, 64657, 64598, 64595, 64591, 64590, 64574, 64565, 64554, 64521, 59423, 59409, 59407, 59401, 59395, 54592, 54586, 54584, 54581, 54580, 54568, 54304, 54303, 54483, 54477, 54476, 54471, 54470, 54469, 54397, 54395, 54398, 54391, 54385, 54389, 54405, 54145, 54143, 54141, 54142, 54135, 54153, 54152, 70598, 70597, 54121, 54120, 58787, 58777, 58776, 58774, 58757, 58756, 58754, 58748, 57514, 57513, 57510, 57501, 57500, 57462, 57461, 57450, 57445, 57153, 41026, 41025, 57146, 57145, 57144, 52489, 52487, 52485, 52456, 52455, 52452, 52450, 52448, 52410, 50782, 50772, 50771, 50770, 50767, 50765, 50752, 50748, 50747, 70595, 44220, 44211, 44210, 44208, 44207, 44170, 44165, 44164, 44035, 44034, 44030, 44029, 44027, 44023, 44010, 43590, 43589, 43588, 43587, 271183, 271181, 271182, 271180, 271178, 271176, 271175, 271173, 271174, 271140, 271141, 271101, 271109, 271106, 271121, 271186, 271118, 271185, 269854, 269844, 269843, 269848, 269847, 269840, 269839, 272936, 272927, 272926, 272924, 272921, 272920, 272916, 272915, 272909, 272905, 272902, 272901, 272379, 272380, 280731, 272350, 272351, 272349, 272337, 272338, 272336, 272321, 272322, 272320, 272326, 272317, 272318, 272330, 272285, 272286, 272291, 272294, 272308, 272309, 272702, 280501, 280502, 280500, 279227, 272712, 272713, 272717, 272718, 281224, 272726, 272724, 272456, 272469, 272470, 272629, 272639, 272640, 272651, 272656, 272657, 281220, 272655, 274879, 274895, 274893, 274894, 274704, 274705, 279306, 274746, 274747, 274739, 274740, 274779, 275255, 275259, 273112, 273104, 273105, 273101, 273102, 273098, 273099, 280470, 273053, 273051, 273050, 273081, 273078, 273079, 273080, 273087, 273059, 273063, 273064, 273065, 273077, 273737, 273738, 273747, 273750, 273751, 273757, 273758, 273759, 273760, 273761, 273774, 273776, 273779, 267709, 267710, 273812, 273824, 273827, 273832, 273839, 273840, 273841, 273843, 273904, 273925, 267635, 273974, 273953, 273965, 274011, 274081, 274113, 274057, 274117, 274118, 274119, 274115",1135203,1379820,,1.016023449386915,config_BAY27411504.txt
edge penalization,"1, 308, 309, 3, 4, 69, 33190, 33189, 33188, 33187, 33196, 33199, 33179, 33178, 33197, 33194, 33193, 33192, 33159, 33158, 33155, 33154, 32912, 32881, 32909, 32908, 32913, 33147, 32874, 32873, 32879, 25936, 25935, 37776, 37982, 33054, 33053, 33023, 33022, 25834, 25835, 25836, 33019, 33018, 33017, 32728, 32727, 19520, 19519, 19522, 19521, 37019, 32683, 32682, 32689, 32688, 32971, 32970, 32969, 32961, 32957, 32958, 21373, 21372, 21364, 21317, 21316, 21312, 21309, 21307, 21285, 21194, 21196, 21246, 21081, 21058, 21059, 21089, 21091, 21090, 21076, 21080, 21072, 21071, 21073, 21074, 20835, 20836, 37752, 20834, 20738, 20735, 20712, 20711, 20709, 20699, 20691, 20690, 20692, 20696, 20686, 20282, 20281, 20283, 20680, 20681, 20682, 20684, 20636, 20635, 20552, 20497, 431, 430, 432, 20504, 16114, 16113, 20356, 20355, 4662, 4661, 15613, 15612, 20340, 20346, 20172, 20059, 20058, 20075, 20074, 20076, 20073, 19184, 19185, 19974, 19967, 19660, 19626, 19437, 19447, 19525, 19526, 33814, 33812, 19475, 19476, 19470, 19471, 68340, 67992, 67989, 67988, 67826, 67825, 70578, 70577, 67287, 67254, 67047, 67046, 67043, 43013, 43012, 67031, 66632, 62691, 62690, 66320, 43612, 43611, 66254, 66253, 66245, 66172, 66171, 66167, 66166, 66158, 66157, 65983, 70608, 66145, 66142, 66141, 66135, 66084, 65930, 65924, 65915, 65899, 65898, 65870, 65863, 65861, 65393, 65392, 72679, 76324, 65279, 65267, 65216, 65214, 65206, 65205, 65203, 65165, 65164, 65154, 65008, 65006, 64773, 64774, 64754, 64751, 64750, 64749, 64730, 64729, 64728, 64660, 64657, 64598, 64595, 64591, 64590, 64574, 64565, 64554, 64521, 59423, 59409, 59407, 59401, 59395, 54592, 54586, 54584, 54581, 54580, 54568, 54304, 54303, 54483, 54477, 54476, 54471, 54470, 54469, 54397, 54395, 54398, 54391, 54385, 54389, 54405, 54145, 54143, 54141, 54142, 54135, 54153, 54152, 70598, 70597, 54121, 54120, 58787, 58777, 58776, 58774, 58757, 58756, 58754, 58748, 57514, 57513, 57510, 57501, 57500, 57462, 57461, 57450, 57445, 57153, 41026, 41025, 57146, 57145, 57144, 52489, 52487, 52485, 52456, 52455, 52452, 52450, 52448, 52410, 50782, 50772, 50771, 50770, 50767, 50765, 50752, 50748, 50747, 70595, 44220, 44211, 44210, 44208, 44207, 44170, 44165, 44164, 44035, 44034, 44030, 44029, 44027, 44023, 44010, 43590, 43589, 43588, 43587, 271183, 271181, 271182, 271180, 271178, 271176, 271175, 271173, 271174, 271140, 271141, 271101, 271109, 271106, 271121, 271186, 271118, 271185, 269854, 269844, 269843, 269848, 269847, 269840, 269839, 272936, 272927, 272926, 272924, 272921, 272920, 272916, 272915, 272909, 272905, 272902, 272901, 272379, 272380, 280731, 272350, 272351, 272349, 272337, 272338, 272336, 272321, 272322, 272320, 272326, 272317, 272318, 272330, 272285, 272286, 272291, 272294, 272308, 272309, 272702, 280501, 280502, 280500, 279227, 272712, 272713, 272717, 272718, 281224, 272726, 272724, 272456, 272469, 272470, 272629, 272639, 272640, 272651, 272656, 272657, 281220, 272655, 274879, 274895, 274893, 274894, 274704, 274705, 279306, 274746, 274747, 274739, 274740, 274779, 275255, 275259, 273112, 273104, 273105, 273101, 273102, 273098, 273099, 280470, 273053, 273051, 273050, 273081, 273078, 273079, 273080, 273087, 273059, 273063, 273064, 273065, 273077, 273737, 273738, 273747, 273750, 273751, 273757, 273758, 273759, 273760, 273761, 273774, 273776, 273779, 267709, 267710, 273812, 273824, 273827, 273832, 273839, 273840, 273841, 273843, 273904, 273925, 267635, 273974, 273953, 273965, 274011, 274081, 274113, 274057, 274117, 274118, 274119, 274115",1135203,1379820,,1.016023449386915,config_BAY27411504.txt
