Algoritmo,Camino,Costo,Consumo,Duración,Approx,Config
Algoritmo del Pulso (mÃ¡ximo 1 minutos),,,,,,config_NE131976204.txt
Algoritmo de buscar en la frontera de pareto,"1, 2, 22981, 1059019, 1058959, 22889, 1058960, 80048, 80037, 80030, 1084882, 79997, 79988, 1084871, 79987, 79912, 79909, 79907, 79906, 1084849, 79903, 1084843, 79894, 79798, 79796, 79797, 79795, 79787, 1084772, 79785, 79784, 62420, 62410, 62409, 62407, 1076904, 62396, 62392, 62391, 62390, 1076900, 62387, 62384, 62383, 62382, 76038, 1083058, 76035, 76011, 1056496, 1056495, 1056493, 17464, 1056488, 17460, 17458, 1056478, 1056477, 17450, 17449, 17532, 17531, 17592, 1056569, 17573, 1056570, 1056567, 17556, 17555, 17551, 1056545, 17550, 17543, 1056540, 17527, 1056530, 17514, 17512, 1056519, 9335, 1052792, 1052790, 9317, 9316, 9195, 9194, 1052759, 9186, 9183, 9182, 9167, 1052751, 9161, 9159, 9157, 9084, 8966, 8947, 1052631, 1052630, 8943, 1052542, 8674, 8668, 8628, 1052515, 8664, 1052506, 1052505, 8611, 1052503, 8610, 1052494, 8595, 1052491, 8592, 1052489, 8535, 8530, 1052449, 8200, 1052316, 1052315, 1052310, 1052304, 3268, 3269, 8178, 8163, 1052292, 1052289, 8158, 1052286, 1052284, 8015, 1052183, 1052182, 7990, 7988, 7980, 7974, 7978, 1052171, 7947, 7946, 1052166, 7928, 7927, 7903, 7901, 7900, 1052159, 50548, 1071498, 50368, 1071453, 50367, 1071452, 50365, 47796, 47795, 1071428, 1070266, 47800, 1071427, 50319, 50318, 1071420, 50317, 1071419, 50275, 1071392, 1071418, 50414, 50450, 50417, 50280, 50418, 50416, 50277, 50398, 1071461, 50399, 50396, 50395, 50394, 50085, 50083, 50080, 50079, 49854, 49852, 1071206, 49847, 49845, 1071202, 1071198, 1071188, 49823, 1071187, 49820, 1071185, 1071186, 49775, 1071156, 1071153, 1071154, 49771, 49769, 1071152, 1071132, 1071135, 49689, 49690, 49686, 49685, 49663, 49662, 49675, 49674, 49664, 49660, 23913, 23912, 6171, 1745, 1049356, 1059449, 1059448, 1742, 742, 741, 1740, 1318909, 595877, 1318908, 595876, 595874, 595867, 595866, 595863, 595861, 595850, 595798, 595799, 603927, 603928, 595790, 595788, 595787, 1318838, 595706, 595705, 595702, 595701, 1318833, 595696, 1318831, 595697, 1323227, 595690, 1318826, 595683, 595669, 1318812, 1318803, 1318804, 595657, 595656, 595655, 595646, 1318797, 595644, 604218, 1318795, 595643, 1322923, 601690, 601660, 601659, 601658, 1321546, 604262, 1322730, 601650, 601649, 601648, 601647, 601511, 601512, 1322717, 602150, 602051, 602052, 601510, 1321464, 1321465, 604236, 1321457, 601498, 601047, 601494, 1321453, 601492, 601491, 1321452, 1321426, 601451, 601452, 1321425, 1321424, 1321422, 601449, 1321421, 601444, 601438, 1321417, 1321402, 1321403, 603385, 603386, 600962, 600961, 1321194, 1321195, 604868, 598554, 598555, 598551, 1320129, 1320128, 598547, 598535, 1320125, 598533, 598534, 1321450, 598531, 598524, 598525, 598523, 604621, 598514, 598513, 604620, 604619, 598512, 1320119, 598511, 598510, 598506, 598498, 1320114, 598492, 600246, 1319419, 1320051, 598416, 1320890, 598385, 598386, 604656, 1320734, 599874, 1322818, 604537, 604534, 598377, 598384, 598370, 1320043, 598365, 598364, 598363, 1320039, 1320037, 598361, 598362, 598077, 1319919, 605626, 1323349, 605625, 598061, 1319915, 598060, 1319914, 605618, 605619, 1323344, 598053, 598050, 598049, 597898, 597883, 1319812, 1319813, 597881, 1319811, 1319810, 597876, 1322847, 604581, 1319909, 598037, 597829, 1319778, 597825, 1319775, 603408, 604579, 605672, 597820, 1319773, 597819, 597817, 597814, 1319705, 1319762",1139857.0,1674095.0,,6.340665032841109e-303,config_NE131976204.txt
Algoritmo de los caminos disyuntos,"1, 2, 22981, 1059019, 1058959, 22889, 1058960, 80048, 80037, 80030, 1084882, 79997, 79988, 1084871, 79987, 79912, 79909, 79907, 79906, 1084849, 79903, 1084843, 79894, 79798, 79796, 79797, 79795, 79787, 1084772, 79785, 79784, 62420, 62410, 62409, 62407, 1076904, 62396, 62392, 62391, 62390, 1076900, 62387, 62384, 62383, 62382, 76038, 1083058, 76035, 76011, 1056496, 1056495, 1056493, 17464, 1056488, 17460, 17458, 1056478, 1056477, 17450, 17449, 17532, 17531, 17592, 1056569, 17573, 1056570, 1056567, 17556, 17555, 17551, 1056545, 17550, 17543, 1056540, 17527, 1056530, 17514, 17512, 1056519, 9335, 1052792, 1052790, 9317, 9316, 9195, 9194, 1052759, 9186, 9183, 9182, 9167, 1052751, 9161, 9159, 9157, 9084, 8966, 8947, 1052631, 1052630, 8943, 1052542, 8674, 8668, 8627, 8624, 1052512, 1052511, 1059135, 1052501, 1052500, 1052498, 8251, 8250, 1052337, 8238, 8235, 8237, 1052354, 8294, 8292, 8290, 1052350, 1052341, 8260, 8258, 7701, 7699, 1052077, 1052076, 1052075, 1052074, 7695, 1052069, 7681, 1052027, 19089, 19088, 7370, 7361, 7362, 7343, 7341, 7332, 7333, 7260, 1051881, 1051904, 7305, 7296, 7295, 7275, 1051888, 6794, 6797, 6796, 6839, 6841, 6842, 6850, 1051706, 6846, 1051703, 1051629, 1051628, 18031, 1056771, 18024, 18022, 17833, 1056657, 17828, 17827, 1056656, 17821, 17818, 1056654, 1359901, 687679, 687678, 687677, 687509, 687505, 687496, 687493, 687492, 687489, 1360398, 687485, 1360393, 687437, 687407, 687405, 687402, 687399, 687398, 687397, 687278, 687267, 1360308, 687251, 686976, 686259, 686250, 686247, 686241, 686220, 686221, 685615, 685614, 1359532, 685600, 685601, 688450, 685516, 685507, 1359506, 1360823, 688410, 688405, 1360818, 603115, 603082, 603079, 603034, 1322083, 602883, 1322417, 1322074, 1322072, 1322071, 602853, 602850, 602849, 1322067, 602847, 602845, 602846, 603209, 602800, 1322036, 602773, 602772, 602767, 602768, 602771, 1321990, 602703, 602704, 602694, 602688, 1319378, 596885, 1319343, 596882, 596881, 1322286, 596861, 596860, 596859, 596856, 1319331, 596833, 1319330, 596822, 596815, 596814, 596813, 596796, 1319320, 596789, 596659, 1319281, 1319280, 596657, 596655, 596545, 596546, 1319205, 1319195, 596527, 1319193, 596521, 596520, 1319188, 596458, 596457, 1319147, 596454, 1319142, 1319145, 1319144, 596453, 603891, 596418, 596417, 596416, 596410, 1319133, 599873, 599884, 599883, 599844, 596440, 596439, 599825, 599826, 1320682, 1320681, 1320680, 599756, 599753, 1320677, 1320676, 599751, 599749, 1321708, 1320669, 598691, 599737, 1320667, 599736, 599734, 1320665, 599172, 599171, 1320383, 1320382, 599166, 1320381, 1320380, 1320378, 598690, 598687, 598679, 598677, 1320160, 598674, 598661, 598664, 598662, 598657, 1320155, 598656, 1320150, 598634, 598631, 598630, 598624, 598623, 598622, 598603, 598602, 598598, 598597, 598594, 1320139, 598575, 1320135, 598576, 598577, 1320292, 598886, 598883, 598574, 1320134, 598570, 598571, 598755, 598754, 598753, 1323356, 598749, 598722, 598721, 598717, 1320178, 1320177, 598711, 1320175, 598563, 598710, 598709, 598708, 597116, 597933, 597932, 1319490, 597115, 1319489, 1319488, 597113, 597112, 1319484, 597105, 1319483, 1319482, 597104, 597102, 597086, 1319469, 597075, 1319462, 597074, 597076, 1319459, 1319458, 597068, 597066, 597064, 605336, 605335, 1323189, 605334, 1319452, 597059, 597058, 597057, 1319451, 1319450, 597857, 597856, 1319797, 1319796, 597855, 597849, 1319791, 597851, 597850, 597828, 597827, 597824, 1319775, 603408, 604579, 605672, 597820, 1319773, 597819, 597817, 597814, 1319705, 1319762",1283059.0,1446028.0,,7.13725259955598e-303,config_NE131976204.txt
edge block,"1, 2, 22981, 1059019, 1058959, 22889, 1058960, 80048, 80037, 80030, 1084882, 79997, 79988, 1084871, 79987, 79912, 79909, 79907, 79906, 1084849, 79903, 1084843, 79894, 79798, 79796, 79797, 79795, 79787, 1084772, 79785, 79784, 62420, 62410, 62409, 62407, 1076904, 62396, 62392, 62391, 62390, 1076900, 62387, 62384, 62383, 62382, 76038, 1083058, 76035, 76011, 1056496, 1056495, 1056493, 17464, 1056488, 17460, 17458, 1056478, 1056477, 17450, 17449, 17532, 17531, 17592, 1056569, 17573, 1056570, 1056567, 17556, 17555, 17551, 1056545, 17550, 17543, 1056540, 17527, 1056530, 17514, 17512, 1056519, 9335, 1052792, 1052790, 9317, 9316, 9195, 9194, 1052759, 9186, 9183, 9182, 9167, 1052751, 9161, 9159, 9157, 9084, 8966, 8947, 1052631, 1052630, 8943, 1052542, 8674, 8668, 8627, 8624, 1052512, 1052511, 1059135, 1052501, 1052500, 1052498, 8251, 8250, 1052337, 8238, 8235, 8237, 1052354, 8294, 8292, 8290, 1052350, 1052341, 8260, 8258, 7701, 7699, 1052077, 1052076, 1052075, 1052074, 7695, 1052069, 7681, 1052027, 19089, 19088, 7370, 7361, 7362, 7343, 7341, 7332, 7333, 7260, 1051881, 1051904, 7305, 7296, 7295, 7275, 1051888, 6794, 6797, 6796, 6839, 6841, 6842, 6850, 1051706, 6846, 1051703, 1051629, 1051628, 18031, 1056771, 18024, 18022, 17833, 1056657, 17828, 17827, 1056656, 17821, 17818, 1056654, 1359901, 687679, 687678, 687677, 687509, 687505, 687496, 687493, 687492, 687489, 1360398, 687485, 1360393, 687437, 687407, 687405, 687402, 687399, 1360341, 1360311, 687268, 687257, 1360304, 686975, 1359072, 684491, 686253, 1359867, 1359865, 1359863, 686248, 686240, 1359840, 1359838, 1359533, 685612, 1359534, 685611, 685609, 685610, 685554, 685513, 685512, 1359507, 685510, 685511, 685509, 685508, 1360824, 688413, 1360821, 688406, 688405, 1360818, 603115, 603082, 603110, 603106, 603105, 604014, 603058, 603057, 1322168, 603048, 603047, 603056, 603050, 1322166, 603038, 603037, 603034, 1322083, 602883, 1322417, 1322074, 1322072, 1322071, 602853, 602850, 602848, 1322066, 602842, 1322063, 1322032, 602792, 602789, 602788, 1322028, 602787, 1321901, 602452, 1321903, 602450, 602449, 602462, 602461, 602435, 602434, 603636, 602411, 602410, 600678, 600613, 1321058, 600612, 600611, 1321042, 600586, 600587, 600580, 1321036, 1321037, 600570, 600568, 604153, 604151, 1321029, 600539, 600541, 600536, 1321011, 600525, 1321007, 600529, 1321003, 600175, 600204, 600200, 596098, 596099, 600199, 1320859, 600167, 600166, 600163, 1320855, 1320852, 600152, 600153, 600096, 1320627, 599677, 1322740, 599675, 599676, 599674, 1320623, 599662, 1320622, 599669, 599650, 1320610, 599652, 1320607, 599463, 599462, 599461, 599446, 599447, 1320535, 599440, 599427, 1320530, 599423, 599392, 599390, 599381, 1320519, 599371, 1320509, 1320508, 599349, 1320504, 599345, 599346, 1320423, 1320422, 599227, 599224, 599204, 599079, 1320406, 599196, 599059, 599132, 598996, 1320331, 598991, 1320327, 598977, 598959, 598955, 1320321, 598943, 598940, 598933, 598931, 1320315, 598929, 598928, 598927, 598924, 598923, 1320295, 598890, 1320294, 1320293, 598888, 598885, 598883, 598574, 1320134, 598570, 598571, 598755, 598754, 598753, 1323356, 598749, 598722, 598721, 598717, 1320178, 1320177, 598711, 1320175, 598563, 598710, 598709, 598708, 597116, 597933, 597932, 1319490, 597115, 1319489, 1319488, 597113, 597112, 1319484, 597105, 1319483, 1319482, 597104, 597102, 597086, 1319469, 597075, 1319462, 597074, 597076, 1319459, 1319458, 597068, 597066, 597064, 605336, 605335, 1323189, 605334, 1319452, 597059, 597058, 597057, 1319451, 1319450, 597857, 597856, 1319797, 1319796, 597855, 597849, 1319791, 597851, 597850, 597828, 597827, 597824, 1319775, 603408, 604579, 605672, 597820, 1319773, 597819, 597817, 597814, 1319705, 1319762",1265135.0,1602500.0,,7.037547039956272e-303,config_NE131976204.txt
edge penalization,"1, 2, 22981, 1059019, 1058959, 22889, 1058960, 80048, 80037, 80030, 1084882, 79997, 79988, 1084871, 79987, 79912, 79909, 79907, 79906, 1084849, 79903, 1084843, 79894, 79798, 79796, 79797, 79795, 79787, 1084772, 79785, 79784, 62420, 62410, 62409, 62407, 1076904, 62396, 62392, 62391, 62390, 1076900, 62387, 62384, 62383, 62382, 76038, 1083058, 76035, 76011, 1056496, 1056495, 1056493, 17464, 1056488, 17460, 17458, 1056478, 1056477, 17450, 17449, 17532, 17531, 17592, 1056569, 17573, 1056570, 1056567, 17556, 17555, 17551, 1056545, 17550, 17543, 1056540, 17527, 1056530, 17514, 17512, 1056519, 9335, 1052792, 1052790, 9317, 9316, 9195, 9194, 1052759, 9186, 9183, 9182, 9167, 1052751, 9161, 9159, 9157, 9084, 8966, 8947, 1052631, 1052630, 8943, 1052542, 8674, 8668, 8627, 8624, 1052512, 8622, 8621, 8620, 8618, 1052508, 1052509, 8619, 1052507, 8616, 8596, 8595, 1052491, 8592, 1052489, 8535, 8530, 1052449, 8200, 1052316, 1052315, 1052310, 1052304, 3268, 3269, 8178, 8163, 1052292, 1052289, 8158, 1052286, 1052284, 8015, 1052183, 1052182, 7990, 7988, 7980, 7974, 7978, 1052171, 7947, 7946, 1052166, 7928, 7927, 7903, 7901, 7900, 1052159, 50548, 1071498, 50368, 1071453, 50367, 1071452, 50365, 47796, 47795, 1071428, 1070266, 47800, 1071427, 50319, 50318, 1071420, 50317, 1071419, 50275, 1071392, 1071418, 50414, 50450, 50417, 50280, 50418, 50416, 50277, 50398, 1071461, 50399, 50396, 50395, 50394, 50085, 50083, 50080, 50079, 49854, 49852, 1071206, 49847, 49845, 1071202, 1071198, 1071188, 49823, 1071187, 49820, 1071185, 1071186, 49775, 1071156, 1071153, 1071154, 49771, 49769, 1071152, 1071132, 1071135, 49689, 49690, 49686, 49685, 49663, 49662, 49675, 49674, 49664, 49660, 6172, 6173, 23914, 6174, 1051370, 6168, 6169, 283, 1744, 1049356, 1059449, 1059448, 1742, 742, 741, 1740, 1318909, 595877, 1318908, 595876, 595874, 595867, 595866, 595863, 595861, 595850, 595798, 595799, 603927, 603928, 595790, 595788, 595787, 1318838, 595706, 595705, 595702, 595701, 1318833, 595696, 1318831, 595697, 1323227, 595690, 1318826, 595683, 595669, 1318812, 1318803, 1318804, 595657, 595656, 595655, 595646, 1318797, 595644, 604218, 1318795, 595643, 1322923, 601690, 601660, 601659, 601658, 1321546, 604262, 1322730, 601650, 601649, 601648, 601647, 601511, 601512, 1322717, 602150, 602051, 602052, 601510, 1321464, 1321465, 604236, 1321457, 601498, 601047, 601494, 1321453, 601492, 601491, 1321452, 1321426, 601451, 601452, 1321425, 1321424, 1321422, 601449, 1321421, 601444, 601438, 1321417, 1321402, 1321403, 603385, 603386, 600962, 600961, 1321194, 1321195, 604868, 598554, 598555, 598551, 1320129, 1320128, 598547, 598535, 1320125, 598533, 598534, 1321450, 598531, 598524, 598525, 598523, 604621, 598514, 598513, 604620, 604619, 598512, 1320119, 598511, 598510, 598506, 598498, 1320114, 598492, 600246, 1319419, 1320051, 598416, 1320890, 598385, 598386, 604656, 1320734, 599874, 1322818, 604537, 604534, 598377, 598384, 598370, 1320043, 598365, 598364, 598363, 1320039, 1320037, 598361, 598362, 598077, 1319919, 605626, 1323349, 605625, 598061, 1319915, 598060, 1319914, 605618, 605619, 1323344, 598053, 598050, 598049, 597898, 597883, 1319812, 1319813, 597881, 1319811, 1319810, 597876, 1322847, 604581, 1319909, 598037, 597829, 1319778, 597825, 1319775, 603408, 604579, 605672, 597820, 1319773, 597819, 597817, 597814, 1319705, 1319762",1155445.0,1654975.0,,6.427376161107135e-303,config_NE131976204.txt
