Algoritmo,Camino,Costo,Consumo,Duración,Approx,Config
Algoritmo del Pulso (mÃ¡ximo 3 minutos),"1, 308, 309, 3, 4, 69, 33190, 33189, 33188, 33187, 33196, 33199, 33179, 33178, 33197, 33194, 33193, 33192, 33159, 33158, 33155, 33154, 32912, 32881, 32909, 32908, 32913, 33147, 32874, 32873, 33335, 2746, 2745, 2736, 2718, 2717, 2764, 2762, 27, 26, 24, 22, 20, 16, 17, 18",145383,363467,,,Config1.txt
Algoritmo de buscar en la frontera de pareto,"1, 308, 309, 3, 4, 69, 33190, 33189, 33188, 33187, 33196, 33199, 33179, 33178, 33197, 33194, 33193, 33192, 33159, 33158, 33155, 33154, 32912, 32881, 32909, 32908, 32913, 33147, 32874, 32873, 33335, 2746, 2745, 2736, 2718, 2717, 2764, 2762, 27, 26, 24, 22, 20, 16, 17, 18",145383,363467,,1.0,Config1.txt
Algoritmo de los caminos disyuntos,"1, 308, 309, 3, 4, 69, 33190, 33189, 33188, 33187, 33196, 33199, 33179, 33178, 33197, 33194, 33193, 33192, 33159, 33158, 33155, 33154, 32912, 32881, 32909, 32908, 32913, 33147, 32874, 32873, 33335, 2746, 2745, 2736, 2718, 2717, 2764, 2762, 27, 26, 24, 22, 20, 16, 17, 18",145383,363467,,1.0,Config1.txt
edge block,"1, 308, 309, 3, 4, 69, 33190, 33189, 33188, 33187, 33196, 33199, 33179, 33178, 33197, 33194, 33193, 33192, 33159, 33158, 33155, 33154, 32912, 32881, 32909, 32908, 32913, 33147, 32874, 32873, 33335, 2746, 2745, 2736, 2718, 2717, 2764, 2762, 27, 26, 24, 22, 20, 16, 17, 18",145383,363467,,1.0,Config1.txt
edge penalization,"1, 308, 309, 3, 4, 69, 33190, 33189, 33188, 33187, 33196, 33199, 33179, 33178, 33197, 33194, 33193, 33192, 33159, 33158, 33155, 33154, 32912, 32881, 32909, 32908, 32913, 33147, 32874, 32873, 33335, 2746, 2745, 2736, 2718, 2717, 2764, 2762, 27, 26, 24, 22, 20, 16, 17, 18",145383,363467,,1.0,Config1.txt
