Algoritmo,Camino,Costo,Consumo,Duración,Approx,Config
Algoritmo del Pulso (mÃ¡ximo 1 minutos),,,,,,config_BAY10839204.txt
Algoritmo de buscar en la frontera de pareto,"1, 308, 309, 3, 4, 69, 33190, 33189, 33188, 33187, 33196, 33199, 33179, 33178, 33197, 33194, 33193, 33192, 33159, 33158, 33155, 33154, 32912, 32881, 32909, 32908, 32913, 33147, 32874, 32873, 32879, 25936, 25935, 37776, 37982, 33054, 33053, 33023, 33022, 25834, 25835, 25836, 33019, 33018, 33017, 32728, 32727, 19520, 19519, 19522, 19521, 37019, 32683, 32682, 32689, 32688, 32971, 32970, 32969, 32961, 32957, 32958, 32959, 32893, 21369, 21370, 21387, 21388, 21415, 21400, 21399, 21398, 21397, 21396, 21395, 21414, 21431, 21461, 21460, 21261, 21260, 2246, 2247, 2248, 2167, 2168, 2192, 2190, 2191, 2237, 2238, 2239, 2240, 2226, 2227, 2491, 2503, 2504, 2508, 2507, 2496, 2497, 2533, 2555, 1714, 1715, 2578, 2579, 2580, 2587, 2635, 2664, 1729, 1693, 1692, 1730, 1731, 1743, 1713, 1710, 1709, 1712, 1711, 1831, 38670, 699, 698, 697, 696, 694, 793, 739, 728, 729, 765, 771, 185023, 185024, 185101, 185103, 185105, 170682, 169867, 169866, 170688, 170687, 170690, 170708, 170707, 170713, 170712, 170720, 170724, 170723, 178574, 178573, 186371, 178583, 178582, 178584, 178586, 178589, 178600, 178599, 186373, 186379, 179061, 179060, 179070, 179074, 179078, 187852, 179080, 179079, 179522, 179521, 179531, 179571, 179573, 179572, 180104, 180114, 180118, 180117, 180120, 180127, 180128, 180129, 180130, 179690, 179689, 179691, 179692, 179693, 179688, 179687, 179683, 179676, 179675, 179677, 186478, 179849, 179848, 179847, 179851, 179786, 179780, 179779, 179781, 179763, 179761, 179760, 179737, 179725, 179720, 179718, 178120, 178116, 178114, 176240, 176239, 178102, 178100, 177940, 177934, 176224, 176191, 176187, 176188, 176160, 176159, 176149, 176147, 176057, 176056, 176054, 176022, 175995, 175991, 175990, 175959, 175956, 175954, 169754, 169755, 175758, 175748, 175746, 175740, 175697, 175689, 175682, 175683, 175114, 175115, 186343, 175068, 175066, 175053, 175048, 175047, 174979, 174980, 186340, 186341, 174971, 174965, 174946, 174676, 174674, 174670, 174658, 174659, 174609, 172885, 172875, 172874, 174541, 174523, 174522, 174508, 174505, 171626, 171627, 171625, 171615, 171613, 171612, 171524, 171506, 171460, 171461, 186273, 186274, 186456, 171213, 171053, 171051, 171035, 170990, 170991, 186528, 186535, 170988, 170891, 170892, 186233, 186234, 170888, 170859, 170857, 170854, 170851, 170850, 170848, 170849, 169885, 169884, 169881, 169879, 169871, 169870, 169868, 169869, 183302, 183296, 183286, 183281, 183282, 183262, 183258, 183257, 183212, 172896, 172897, 183210, 183203, 183201, 170810, 170811, 183163, 159620, 119752, 159625, 159624, 159623, 159622, 159621, 119750, 119746, 119346, 119343, 119332, 119333, 151128, 119302, 119293, 119294, 159607, 119289, 119290, 159608, 159606, 145735, 145734, 145732, 145733, 145611, 145612, 145602, 145603, 159600, 145598, 145599, 156222, 156223, 159597, 159599, 159598, 145595, 145036, 145037, 145012, 145013, 145010, 144633, 144629, 144584, 144505, 144480, 124697, 124696, 124708, 124713, 124711, 124710, 124715, 124669, 124668, 124661, 124659, 124660, 126585, 124640, 126578, 126577, 126576, 126260, 126255, 126259, 126251, 126257, 126265, 126263, 126262, 126248, 126238, 126230, 126237, 126241, 126239, 126235, 126234, 126233, 126175, 126214, 126213, 126211, 126210, 126209, 126208, 126196, 126201, 126198, 126197, 126194, 126165, 126203, 126147, 126183, 126181, 126179, 126178, 126177, 126176, 119804, 119803, 126186, 126187, 126191, 126338, 126341, 126342, 125419, 126351, 125424, 125458, 125457, 125476, 125475, 125465, 125479, 125484, 125468, 125461, 125474, 125472, 125470, 125469, 125796, 125794, 125793, 125786, 125785, 125784, 125788, 125692, 125690, 125696, 125694, 125697, 125671, 125669, 125722, 125719, 125718, 125554, 125553, 125552, 125561, 125622, 125621, 125620, 125619, 132555, 132532, 132533, 132530, 125609, 132529, 132534, 132525, 132526, 132541, 132544, 132548, 132546, 132549, 129456, 129457, 129452, 129449, 129450, 129473, 129472, 129470, 129471, 129486, 158911, 129702, 129699, 129693, 129694, 129721, 129847, 129676, 129673, 129677, 129678, 131288, 131284, 131285, 131286, 131287, 131381, 131382, 131385, 131388, 131390, 131397, 131334, 131335, 131358, 131359, 131362, 131363, 131364, 131029, 131028, 131075, 131072, 131073, 131074, 131078, 131175, 134893, 131174, 134415, 134416, 134425, 134565, 134566, 134876, 136927, 136925, 136923, 136933, 137627, 137628, 151434, 151287, 151282, 145772, 145765, 145766, 137629, 137630, 128131, 128136, 128139, 128246, 121199, 121200, 108874, 108875, 108866, 108877, 108870, 108868, 108869, 108899, 108811, 108810, 108830, 114738, 114737, 108831, 108826, 108827, 108775, 108776, 109038, 109039, 109036, 109037, 108384, 108382, 108383, 108381, 106755, 106756, 108379, 108380, 106598, 106597, 116101, 108418, 108417, 108439, 108433, 108331, 108326, 108330, 108392",1803369.0,2099098.0,,1.0031573047855684e-302,config_BAY10839204.txt
Algoritmo de los caminos disyuntos,"1, 308, 309, 3, 4, 69, 33190, 33189, 33188, 33187, 33196, 33199, 33179, 33178, 33197, 33194, 33193, 33192, 33159, 33158, 33155, 33154, 32912, 32881, 32909, 32908, 32913, 33147, 32874, 32873, 32879, 25936, 25935, 37776, 37982, 33054, 33053, 33023, 33022, 25834, 25835, 25836, 33019, 33018, 33017, 32728, 32727, 19520, 19519, 19522, 19521, 37019, 32683, 32682, 32689, 32688, 32971, 32970, 32969, 32961, 32957, 32958, 21373, 32893, 21369, 21370, 21387, 21388, 21415, 21400, 21399, 21398, 21397, 21396, 21395, 21414, 21431, 21461, 21460, 21261, 21260, 2246, 2247, 2248, 2167, 2168, 2192, 2190, 2191, 2237, 2238, 2239, 2240, 2226, 2227, 2491, 2503, 2504, 2508, 2507, 2496, 2497, 2533, 2555, 1714, 1715, 2578, 2579, 2580, 2587, 2635, 2664, 1729, 1693, 1692, 1730, 1731, 1743, 1713, 1710, 1709, 1712, 1711, 1831, 38670, 699, 698, 697, 696, 694, 793, 739, 728, 729, 765, 771, 185023, 185024, 185101, 185103, 185105, 170682, 169867, 169866, 170688, 170687, 170690, 170708, 170707, 170713, 170712, 170720, 170724, 170723, 178574, 178573, 186371, 178583, 178582, 178584, 178586, 178589, 178600, 178599, 186373, 186379, 179061, 179060, 179070, 179074, 179078, 187852, 179080, 179079, 179522, 179521, 179531, 179571, 179573, 179572, 180104, 180114, 180118, 180117, 180120, 180127, 180128, 180129, 180130, 179690, 179689, 179691, 179692, 179693, 179688, 179687, 179683, 179676, 179675, 179677, 186478, 179849, 179848, 179847, 179851, 179786, 179780, 179779, 179781, 179763, 179761, 179760, 179737, 179725, 179720, 179718, 178120, 178116, 178114, 176240, 176239, 178102, 178100, 177940, 177934, 176224, 176191, 176187, 176188, 176160, 176159, 176149, 176147, 176057, 176056, 176054, 176022, 175995, 175991, 175990, 175959, 176025, 169721, 169722, 176020, 176034, 176750, 176748, 176767, 176770, 176830, 176834, 176847, 175747, 175381, 174969, 174721, 173952, 172995, 169955, 169756, 169752, 169749, 169743, 176084, 176113, 176114, 176265, 176248, 176247, 176048, 176045, 175980, 175978, 175968, 175970, 177539, 180864, 180865, 186565, 180778, 177485, 177486, 186367, 177483, 177482, 177474, 177468, 177465, 177417, 177414, 177399, 177398, 177397, 177396, 177395, 177392, 174476, 174470, 174466, 174464, 174463, 174458, 174456, 174447, 174440, 174437, 174436, 174434, 174432, 174342, 174343, 174341, 174337, 174334, 174333, 174324, 174319, 174313, 174314, 174309, 174308, 173926, 173927, 173912, 173887, 173885, 173884, 173875, 173856, 173849, 173846, 173847, 173851, 173870, 173843, 173838, 170509, 170507, 170504, 170493, 170494, 170499, 170486, 170483, 170417, 170397, 170398, 184549, 184548, 184516, 184513, 184511, 184497, 184495, 184494, 184483, 184475, 184115, 184109, 184110, 184108, 184107, 184106, 184093, 184068, 184049, 184046, 184045, 184044, 184028, 184027, 184024, 184021, 184020, 184018, 184017, 184012, 183460, 183454, 183456, 183450, 183448, 173696, 173697, 183425, 183422, 183421, 183406, 183400, 183398, 183396, 183387, 183373, 120473, 120471, 120469, 120465, 120462, 120445, 120339, 120252, 120249, 120241, 120239, 120237, 120216, 120215, 120200, 120194, 120192, 120094, 120089, 120088, 120085, 120066, 120064, 120057, 120049, 120045, 120043, 119891, 119889, 119887, 119884, 119871, 119870, 119869, 119866, 119857, 119856, 119855, 119852, 119851, 119850, 119848, 119847, 119846, 119839, 119838, 119837, 119833, 119829, 119828, 119826, 119825, 159619, 148123, 148118, 148114, 120857, 120856, 120852, 120851, 147565, 147561, 147547, 147534, 145634, 145633, 120102, 120101, 147472, 147471, 147470, 147786, 147792, 147179, 147178, 147171, 147170, 147168, 147155, 147154, 147153, 147148, 147092, 147091, 151706, 151705, 152679, 152678, 159614, 147025, 147024, 147020, 147017, 145925, 145924, 147004, 146982, 146981, 153045, 153044, 146473, 146472, 146468, 146442, 146465, 146175, 146171, 146154, 146042, 143725, 143724, 146032, 151724, 151723, 151722, 145941, 145940, 151721, 151720, 151719, 159613, 145922, 145906, 145904, 145900, 145897, 145896, 145907, 145262, 145261, 127718, 127694, 127509, 127508, 127507, 127506, 127505, 127488, 127502, 127501, 127504, 127497, 127496, 158910, 127436, 127435, 127431, 127429, 127419, 127387, 127382, 127381, 152668, 127380, 127379, 127378, 127369, 127368, 127365, 127364, 158926, 151225, 151224, 151223, 126995, 126994, 151221, 151220, 151219, 125820, 126553, 126463, 126458, 126462, 126461, 126411, 126410, 151217, 151216, 125490, 125479, 125484, 125468, 125461, 125474, 125472, 125470, 125469, 125796, 125794, 125793, 125786, 125785, 125784, 125788, 125692, 125690, 125696, 125694, 125697, 125671, 125669, 125722, 125719, 125718, 125554, 125553, 125552, 125561, 125622, 125621, 125620, 125619, 132555, 132532, 132533, 132530, 125609, 132529, 132534, 132525, 132526, 132541, 132544, 132548, 132546, 132549, 129456, 129457, 129452, 129449, 129450, 129473, 129472, 129470, 129471, 129486, 158911, 129702, 129699, 129693, 129694, 129721, 129847, 129676, 129673, 129677, 129678, 131288, 131284, 131285, 131286, 131287, 131381, 131382, 131385, 131388, 131390, 131397, 131334, 131335, 131358, 131359, 131362, 131363, 131364, 131029, 131028, 131075, 131072, 131073, 131074, 131078, 131175, 134893, 131174, 134415, 134416, 134425, 134565, 134566, 134876, 136927, 136925, 136923, 136933, 137627, 137628, 151434, 151287, 151282, 145772, 145765, 145766, 137629, 137630, 128131, 128136, 128139, 128246, 121199, 121200, 108874, 108875, 108866, 108877, 108870, 108868, 108869, 108899, 108811, 108810, 108830, 114738, 114737, 108831, 108826, 108827, 108775, 108776, 109038, 109039, 109036, 109037, 108384, 108382, 108383, 108381, 106755, 106756, 108379, 108380, 108445, 108446, 117341, 117343, 117339, 116101, 108418, 108417, 108439, 108433, 108331, 108326, 108330, 108392",1841066.0,2048008.0,,1.0241269570966049e-302,config_BAY10839204.txt
edge block,"1, 308, 309, 3, 4, 69, 33190, 33189, 33188, 33187, 33196, 33199, 33179, 33178, 33197, 33194, 33193, 33192, 33159, 33158, 33155, 33154, 32912, 32881, 32909, 32908, 32913, 33147, 32874, 32873, 32879, 25936, 25935, 37776, 37982, 33054, 33053, 33023, 33022, 25834, 25835, 25836, 33019, 33018, 33017, 32728, 32727, 19520, 19519, 19522, 19521, 37019, 32683, 32682, 32689, 32688, 32971, 32970, 32969, 32961, 32957, 32958, 21373, 32893, 21369, 21370, 21387, 21388, 21415, 21400, 21399, 21398, 21397, 21396, 21395, 21414, 21431, 21461, 21460, 21261, 21260, 2246, 2247, 2248, 2167, 2168, 2192, 2190, 2191, 2237, 2238, 2239, 2240, 2226, 2227, 2491, 2503, 2504, 2508, 2507, 2496, 2497, 2533, 2555, 1714, 1715, 2578, 2579, 2580, 2587, 2635, 2664, 1729, 1693, 1692, 1730, 1731, 1743, 1713, 1710, 1709, 1712, 1711, 1831, 38670, 699, 698, 697, 696, 694, 793, 739, 728, 729, 765, 771, 185023, 185024, 185101, 185103, 185105, 170682, 169867, 169866, 170688, 170687, 170690, 170708, 170707, 170713, 170712, 170720, 170724, 170723, 178574, 178573, 186371, 178583, 178582, 178584, 178586, 178589, 178600, 178599, 186373, 186379, 179061, 179060, 179070, 179074, 179078, 187852, 179080, 179079, 179522, 179521, 179531, 179571, 179573, 179572, 180104, 180114, 180118, 180117, 180120, 180127, 180128, 180129, 180130, 179690, 179689, 179691, 179692, 179693, 179688, 179687, 179683, 179676, 179675, 179677, 186478, 179849, 179848, 179847, 179851, 179786, 179780, 179779, 179781, 179763, 179761, 179760, 179737, 179725, 179720, 179718, 178120, 178116, 178114, 176240, 176239, 178102, 178100, 177940, 177934, 176224, 176191, 176187, 176188, 176160, 176159, 176149, 176147, 176057, 176056, 176054, 176022, 175995, 175991, 175990, 175959, 176025, 169721, 169722, 176020, 176034, 176750, 176748, 176767, 176770, 176830, 176834, 176847, 175747, 175381, 174969, 174721, 173952, 172995, 169955, 169756, 169752, 169749, 169743, 176084, 176113, 176114, 176265, 176248, 176247, 176048, 176045, 175980, 175978, 175968, 175970, 177539, 180864, 180865, 186565, 180778, 177485, 177486, 186367, 177483, 177482, 177474, 177468, 177465, 177417, 177414, 177399, 177398, 177397, 177396, 177395, 177392, 174476, 174470, 174466, 174464, 174463, 174458, 174456, 174447, 174440, 174437, 174436, 174434, 174432, 174342, 174343, 174341, 174337, 174334, 174333, 174324, 174319, 174313, 174314, 174309, 174308, 173926, 173927, 173912, 173887, 173885, 173884, 173875, 173856, 173849, 173846, 173847, 173851, 173870, 173843, 173838, 170509, 170507, 170504, 170493, 170494, 170499, 170486, 170483, 170417, 170397, 170398, 184549, 184548, 184516, 184513, 184511, 184497, 184495, 184494, 184483, 184475, 184115, 184109, 184110, 184108, 184107, 184106, 184093, 184068, 184049, 184046, 184045, 184044, 184028, 184027, 184024, 184021, 184020, 184018, 184017, 184012, 183460, 183454, 183456, 183450, 183448, 173696, 173697, 183425, 183422, 183421, 183406, 183400, 183398, 183396, 183387, 183373, 120473, 120471, 120469, 120465, 120462, 120445, 120339, 120252, 120249, 120241, 120239, 120237, 120216, 120215, 120200, 120194, 120192, 120094, 120089, 120088, 120085, 120066, 120064, 120057, 120049, 120045, 120043, 119891, 119889, 119887, 119884, 119871, 119870, 119869, 119866, 119857, 119856, 119855, 119852, 119851, 119850, 119848, 119847, 119846, 119839, 119838, 119837, 119833, 119829, 119828, 119826, 119825, 159619, 148123, 148118, 148114, 120857, 120856, 120852, 120851, 147565, 147561, 147547, 147534, 145634, 145633, 120102, 120101, 147472, 147471, 147470, 147786, 147792, 147179, 147178, 147171, 147170, 147168, 147155, 147154, 147153, 147148, 147092, 147091, 151706, 151705, 152679, 152678, 159614, 147025, 147024, 147020, 147017, 145925, 145924, 147004, 146982, 146981, 153045, 153044, 146473, 146472, 146468, 146442, 146465, 146175, 146171, 146154, 146042, 143725, 143724, 146032, 151724, 151723, 151722, 145941, 145940, 151721, 151720, 151719, 159613, 145922, 145906, 145904, 145900, 145897, 145896, 145907, 145262, 145261, 127718, 127694, 127509, 127508, 127507, 127506, 127505, 127488, 127502, 127501, 127504, 127497, 127496, 158910, 127436, 127435, 127431, 127429, 127419, 127387, 127382, 127381, 152668, 127380, 127379, 127378, 127369, 127368, 127365, 127364, 158926, 151225, 151224, 151223, 126995, 126994, 151221, 151220, 151219, 125820, 126553, 126463, 126458, 126462, 126461, 126411, 126410, 151217, 151216, 125490, 125479, 125484, 125468, 125461, 125474, 125472, 125470, 125469, 125796, 125794, 125793, 125786, 125785, 125784, 125788, 125692, 125690, 125696, 125694, 125697, 125671, 125669, 125722, 125719, 125718, 125554, 125553, 125552, 125561, 125622, 125621, 125620, 125619, 132555, 132532, 132533, 132530, 125609, 132529, 132534, 132525, 132526, 132541, 132544, 132548, 132546, 132549, 129456, 129457, 129452, 129449, 129450, 129473, 129472, 129470, 129471, 129486, 158911, 129702, 129699, 129693, 129694, 129721, 129847, 129676, 129673, 129677, 129678, 131288, 131284, 131285, 131286, 131287, 131381, 131382, 131385, 131388, 131390, 131397, 131334, 131335, 131358, 131359, 131362, 131363, 131364, 131029, 131028, 131075, 131072, 131073, 131074, 131078, 131175, 134893, 131174, 134415, 134416, 134425, 134565, 134566, 134876, 136927, 136925, 136923, 136933, 137627, 137628, 151434, 151287, 151282, 145772, 145765, 145766, 137629, 137630, 128131, 128136, 128139, 128246, 121199, 121200, 108874, 108875, 108866, 108877, 108870, 108868, 108869, 108899, 108811, 108810, 108830, 114738, 114737, 108831, 108826, 108827, 108775, 108776, 109038, 109039, 109036, 109037, 108384, 108382, 108383, 108381, 106755, 106756, 108379, 108380, 108445, 108446, 117341, 117343, 117339, 116101, 108418, 108417, 108439, 108433, 108331, 108326, 108330, 108392",1841066.0,2048008.0,,1.0241269570966049e-302,config_BAY10839204.txt
edge penalization,"1, 308, 309, 3, 4, 69, 33190, 33189, 33188, 33187, 33196, 33199, 33179, 33178, 33197, 33194, 33193, 33192, 33159, 33158, 33155, 33154, 32912, 32881, 32909, 32908, 32913, 33147, 32874, 32873, 32879, 25936, 25935, 37776, 37982, 33054, 33053, 33023, 33022, 25834, 25835, 25836, 33019, 33018, 33017, 32728, 32727, 19520, 19519, 19522, 19521, 37019, 32683, 32682, 32689, 32688, 32971, 32970, 32969, 32961, 32957, 32958, 21373, 32893, 21369, 21370, 21387, 21388, 21415, 21400, 21399, 21398, 21397, 21396, 21395, 21414, 21431, 21461, 21460, 21261, 21260, 2246, 2247, 2248, 2167, 2168, 2192, 2190, 2191, 2237, 2238, 2239, 2240, 2226, 2227, 2491, 2503, 2504, 2508, 2507, 2496, 2497, 2533, 2555, 1714, 1715, 2578, 2579, 2580, 2587, 2635, 2664, 1729, 1693, 1692, 1730, 1731, 1743, 1713, 1710, 1709, 1712, 1711, 1831, 38670, 699, 698, 697, 696, 694, 793, 739, 728, 729, 765, 771, 185023, 185024, 185101, 185103, 185105, 170682, 169867, 169866, 170688, 170687, 170690, 170708, 170707, 170713, 170712, 170720, 170724, 170723, 178574, 178573, 186371, 178583, 178582, 178584, 178586, 178589, 178600, 178599, 186373, 186379, 179061, 179060, 179070, 179074, 179078, 187852, 179080, 179079, 179522, 179521, 179531, 179571, 179573, 179572, 180104, 180114, 180118, 180117, 180120, 180127, 180128, 180129, 180130, 179690, 179689, 179691, 179692, 179693, 179688, 179687, 179683, 179676, 179675, 179677, 186478, 179849, 179848, 179847, 179851, 179786, 179780, 179779, 179781, 179763, 179761, 179760, 179737, 179725, 179720, 179718, 178120, 178116, 178114, 176240, 176239, 178102, 178100, 177940, 177934, 176224, 176191, 176187, 176188, 176160, 176159, 176149, 176147, 176057, 176056, 176054, 176022, 175995, 175991, 175990, 175959, 176025, 169721, 169722, 176020, 176034, 176750, 176748, 176767, 176770, 176830, 176834, 176847, 175747, 175381, 174969, 174721, 173952, 172995, 169955, 169756, 169752, 169749, 169743, 176084, 176113, 176114, 176265, 176248, 176247, 176048, 176045, 175980, 175978, 175968, 175970, 177539, 180864, 180865, 186565, 180778, 177485, 177486, 186367, 177483, 177482, 177474, 177468, 177465, 177417, 177414, 177399, 177398, 177397, 177396, 177395, 177392, 174476, 174470, 174466, 174464, 174463, 174458, 174456, 174447, 174440, 174437, 174436, 174434, 174432, 174342, 174343, 174341, 174337, 174334, 174333, 174324, 174319, 174313, 174314, 174309, 174308, 173926, 173927, 173912, 173887, 173885, 173884, 173875, 173856, 173849, 173846, 173847, 173851, 173870, 173843, 173838, 170509, 170507, 170504, 170493, 170494, 170499, 170486, 170483, 170417, 170397, 170398, 184549, 184548, 184516, 184513, 184511, 184497, 184495, 184494, 184483, 184475, 184115, 184109, 184110, 184108, 184107, 184106, 184093, 184068, 184049, 184046, 184045, 184044, 184028, 184027, 184024, 184021, 184020, 184018, 184017, 184012, 183460, 183454, 183456, 183450, 183448, 173696, 173697, 183425, 183422, 183421, 183406, 183400, 183398, 183396, 183387, 183373, 120473, 120471, 120469, 120465, 120462, 120445, 120339, 120252, 120249, 120241, 120239, 120237, 120216, 120215, 120200, 120194, 120192, 120094, 120089, 120088, 120085, 120066, 120064, 120057, 120049, 120045, 120043, 119891, 119889, 119887, 119884, 119871, 119870, 119869, 119866, 119857, 119856, 119855, 119852, 119851, 119850, 119848, 119847, 119846, 119839, 119838, 119837, 119833, 119829, 119828, 119826, 119825, 159619, 148123, 148118, 148114, 120857, 120856, 120852, 120851, 147565, 147561, 147547, 147534, 145634, 145633, 120102, 120101, 147472, 147471, 147470, 147786, 147792, 147179, 147178, 147171, 147170, 147168, 147155, 147154, 147153, 147148, 147092, 147091, 151706, 151705, 152679, 152678, 159614, 147025, 147024, 147020, 147017, 145925, 145924, 147004, 146982, 146981, 153045, 153044, 146473, 146472, 146468, 146442, 146465, 146175, 146171, 146154, 146042, 143725, 143724, 146032, 151724, 151723, 151722, 145941, 145940, 151721, 151720, 151719, 159613, 145922, 145906, 145904, 145900, 145897, 145896, 145907, 145262, 145261, 127718, 127694, 127509, 127508, 127507, 127506, 127505, 127488, 127502, 127501, 127504, 127497, 127496, 158910, 127436, 127435, 127431, 127429, 127419, 127387, 127382, 127381, 152668, 127380, 127379, 127378, 127369, 127368, 127365, 127364, 158926, 151225, 151224, 151223, 126995, 126994, 151221, 151220, 151219, 125820, 126553, 126463, 126458, 126462, 126461, 126411, 126410, 151217, 151216, 125490, 125479, 125484, 125468, 125461, 125474, 125472, 125470, 125469, 125796, 125794, 125793, 125786, 125785, 125784, 125788, 125692, 125690, 125696, 125694, 125697, 125671, 125669, 125722, 125719, 125718, 125554, 125553, 125552, 125561, 125622, 125621, 125620, 125619, 132555, 132532, 132533, 132530, 125609, 132529, 132534, 132525, 132526, 132541, 132544, 132548, 132546, 132549, 129456, 129457, 129452, 129449, 129450, 129473, 129472, 129470, 129471, 129486, 158911, 129702, 129699, 129693, 129694, 129721, 129847, 129676, 129673, 129677, 129678, 131288, 131284, 131285, 131286, 131287, 131381, 131382, 131385, 131388, 131390, 131397, 131334, 131335, 131358, 131359, 131362, 131363, 131364, 131029, 131028, 131075, 131072, 131073, 131074, 131078, 131175, 134893, 131174, 134415, 134416, 134425, 134565, 134566, 134876, 136927, 136925, 136923, 136933, 137627, 137628, 151434, 151287, 151282, 145772, 145765, 145766, 137629, 137630, 128131, 128136, 128139, 128246, 121199, 121200, 108874, 108875, 108866, 108877, 108870, 108868, 108869, 108899, 108811, 108810, 108830, 114738, 114737, 108831, 108826, 108827, 108775, 108776, 109038, 109039, 109036, 109037, 108384, 108382, 108383, 108381, 106755, 106756, 108379, 108380, 108445, 108446, 117341, 117343, 117339, 116101, 108418, 108417, 108439, 108433, 108331, 108326, 108330, 108392",1841066.0,2048008.0,,1.0241269570966049e-302,config_BAY10839204.txt
