Algoritmo,Camino,Costo,Consumo,Duración,Approx,Config
Algoritmo del Pulso (mÃ¡ximo 3 minutos),"1, 308, 309, 3, 4, 69, 33190, 33189, 33188, 33187, 33196, 33199, 33179, 33178, 33197, 33194, 33193, 33192, 33159, 33158, 33155, 33154, 32912, 32881, 32880, 32910, 32911, 32889, 32888, 32330, 30663, 30665, 30666, 32298, 32299, 32300, 37892, 22172, 22173, 37081, 37083, 38005, 38009, 38010, 38014, 37088, 36825, 32331, 32332, 31294, 31290, 31268, 31269, 31277, 31218, 31238, 31237, 31236, 31225, 31223, 31203, 15158, 15159, 31214, 31215, 31213, 31211, 31178, 31151, 31152, 31167, 31063, 31064, 31061, 31062, 30978, 30980, 30953, 30955, 30764, 30867, 30868, 30876, 30875, 30874, 30721, 30727, 30726, 30699, 30700, 30681, 20174, 20178, 20372, 20183, 20083, 20084, 20091, 20090, 20089, 20088, 20087, 20086, 20085, 20092, 20158, 20159, 30496, 30497, 30499, 30500, 30501, 19980, 19981, 19333, 19330, 19331, 19983, 30815, 20123, 20124, 19732, 19733, 35105, 19748, 19725, 37842, 37841, 37844, 37846, 34418, 34417, 19383, 19384, 19385, 19386, 19387, 20384, 336, 335, 19335, 19326, 18940, 18941, 18946, 18945, 19307, 19308, 19306, 19310, 38718, 19112, 19113, 19255, 19010, 19012, 19013, 19019, 18959, 18960, 19036, 19038, 18827, 18820, 18818, 18686, 18514, 18513, 18512, 18140, 18141, 18144, 31004, 18142, 18115, 18114, 18113, 18107, 18106, 18108, 18098, 18097, 18096, 38805, 18095, 17897, 17896, 17895, 17774, 17723, 17724, 17725, 17302, 17283, 11963, 11962, 17223, 16934, 16933, 16929, 16875, 16877, 16878, 16866, 16865, 16781, 16786, 16778, 16163, 16171, 16757, 16051, 16050, 16052, 16053, 16036, 16037, 16038, 15669, 15654, 15649, 15648, 15543, 15544, 15381, 15377, 15364, 15359, 15269, 15354, 15311, 15312, 13951, 13970, 13968, 13967, 13966, 13965, 13964, 13977, 13978, 15197, 15196, 13971, 13972, 13876, 13871, 13874, 3237, 3240, 13813, 13814, 13571, 13572, 13581, 13801, 13555, 13554, 13550, 13549, 13553, 13552, 13551, 13733, 13527, 13528, 13526, 11223, 11222, 11220, 11175, 11176, 11177, 11190, 11189, 11186, 11122, 11108, 11107, 10900, 10902, 34641, 10839, 10838, 10843, 10842, 9426, 9425, 9427, 10406, 10405, 10392, 10288, 9333, 9328, 9268, 9272, 8070, 8004, 7913, 7912, 8005, 8011, 7898, 7900, 7997, 7816, 7673, 7674, 7807, 7785, 7784, 7730, 7732, 7779, 7777, 7583, 7558, 7552, 7554, 7544, 7543, 7546, 7542, 7536, 7538, 7539, 7534, 7465, 7144, 7135, 7132, 7108, 7111, 7094, 7095, 7081, 7080, 563, 561, 562, 567",647097,1205274,,,Config15.txt
Algoritmo de buscar en la frontera de pareto,"1, 308, 309, 3, 4, 69, 33190, 33189, 33188, 33187, 33196, 33199, 33179, 33178, 33197, 33194, 33193, 33192, 33159, 33158, 33155, 33154, 32912, 32881, 32909, 32908, 32913, 33147, 32874, 32873, 32879, 25936, 25935, 37776, 37982, 33054, 33053, 33023, 33022, 25834, 25835, 25836, 33019, 33018, 33017, 32728, 32727, 19520, 19519, 19522, 19521, 37019, 32683, 32682, 32689, 32688, 32971, 32970, 32969, 32961, 32957, 32958, 21373, 21372, 21364, 21317, 21316, 21312, 21309, 21307, 21285, 21194, 21196, 21246, 21081, 21058, 21059, 21089, 21091, 21090, 21076, 21080, 21072, 21071, 21073, 21074, 20835, 20836, 37752, 20834, 20738, 20735, 20712, 20711, 20709, 20699, 20691, 20690, 20692, 20696, 20686, 20282, 20281, 20283, 20680, 20681, 20682, 20684, 20636, 20635, 20552, 20497, 431, 430, 432, 20504, 16114, 16113, 20356, 20355, 4662, 4661, 15613, 15612, 20340, 20346, 20172, 20059, 20058, 20075, 20074, 20076, 20073, 19712, 19711, 19719, 19720, 19705, 19695, 19692, 19370, 2772, 292, 291, 338, 337, 19624, 19623, 19337, 19336, 19327, 18941, 18946, 18945, 19307, 19308, 19306, 19310, 38718, 19112, 19254, 19275, 19262, 19104, 19103, 23659, 19084, 19083, 19145, 19094, 18820, 18818, 18686, 18514, 18513, 18512, 18140, 18141, 18144, 31004, 18142, 18115, 18114, 18113, 18107, 18106, 18108, 18098, 18097, 18096, 38805, 18095, 17897, 17896, 17895, 17774, 17723, 17724, 17725, 17302, 17283, 11963, 11962, 17223, 16934, 16933, 16929, 16875, 16877, 16878, 16866, 16865, 16781, 16786, 16778, 16163, 16171, 16757, 16051, 16050, 16052, 16053, 16036, 16037, 16038, 15669, 15654, 15649, 15648, 15543, 15544, 15381, 15377, 15364, 15359, 15269, 15270, 15271, 15232, 15229, 15228, 15214, 15213, 15162, 13756, 13755, 13823, 13736, 13738, 13739, 13740, 13741, 13742, 13743, 13735, 13734, 13528, 13526, 11223, 11222, 11220, 11175, 11176, 11177, 11190, 11189, 11186, 11122, 11108, 11107, 10900, 10902, 34641, 10839, 10838, 10843, 10842, 9426, 9425, 9427, 10406, 10405, 10392, 10288, 9333, 9328, 9268, 9272, 8070, 8004, 7913, 7912, 8005, 8011, 7898, 7900, 7997, 7816, 7673, 7674, 7807, 7785, 7784, 7730, 7732, 7779, 7777, 7583, 7558, 7552, 7554, 7544, 7543, 7546, 7542, 7536, 7462, 7461, 7465, 7144, 7135, 7132, 7108, 7111, 7094, 7095, 7081, 7080, 563, 561, 562, 567",663662,898696,,1.0255989442077462,Config15.txt
Algoritmo de los caminos disyuntos,"1, 308, 33164, 32883, 32886, 33175, 32425, 32426, 32869, 32870, 32871, 33524, 38947, 31411, 31412, 31413, 31414, 31415, 31430, 31431, 31432, 31448, 31449, 31267, 31450, 31433, 31056, 31057, 31059, 31125, 31034, 31035, 31033, 31026, 31027, 31028, 31039, 31018, 31017, 31002, 31003, 30795, 30796, 30797, 30803, 30802, 25298, 25299, 38432, 39211, 39212, 37883, 37882, 37868, 37867, 37870, 30583, 30582, 30590, 30591, 20173, 20092, 20093, 19699, 19704, 19709, 20071, 20072, 20073, 19712, 19711, 19719, 19720, 19705, 19695, 19692, 19370, 2772, 292, 291, 338, 337, 19624, 19623, 19337, 19336, 19327, 18941, 18946, 18945, 19307, 19308, 19306, 19310, 38718, 19112, 19254, 19275, 19262, 19104, 19103, 23659, 19084, 19083, 19145, 19094, 18820, 18818, 18686, 18514, 18513, 18512, 18140, 18141, 18144, 31004, 18142, 18115, 18114, 18113, 18107, 18106, 18108, 18098, 18097, 18096, 38805, 18095, 17897, 17896, 17895, 17774, 17723, 17724, 17725, 17302, 17283, 11963, 11962, 17223, 16934, 16933, 16929, 16875, 16877, 16878, 16866, 16865, 16781, 16786, 16778, 16163, 16171, 16757, 16051, 16050, 16052, 16053, 16036, 16037, 16038, 15669, 15654, 15649, 15648, 15543, 15544, 15381, 15377, 15364, 15359, 15269, 15270, 15271, 15232, 15229, 15228, 15214, 15213, 15162, 13756, 13755, 13823, 13736, 13738, 13739, 13740, 13741, 13742, 13743, 13735, 13734, 13528, 13526, 11223, 11222, 11220, 11175, 11176, 11177, 11190, 11189, 11186, 11122, 11108, 11107, 10900, 10902, 34641, 10839, 10838, 10843, 10842, 9426, 9425, 9427, 10406, 10405, 10392, 10288, 9333, 9328, 9268, 9272, 8070, 8004, 7913, 7912, 8005, 8011, 7898, 7900, 7997, 7816, 7673, 7674, 7807, 7785, 7784, 7730, 7732, 7779, 7777, 7583, 7558, 7552, 7554, 7544, 7543, 7546, 7542, 7536, 7462, 7461, 7465, 7144, 7135, 7132, 7108, 7111, 7094, 7095, 7081, 7080, 563, 561, 562, 567",696855,895966,,1.076894190515487,Config15.txt
edge block,"1, 308, 309, 3, 4, 69, 33190, 33189, 33188, 33187, 33196, 33199, 33179, 33178, 33197, 33194, 33193, 33192, 33159, 33158, 33155, 33154, 32912, 32881, 32909, 32908, 32913, 33147, 32874, 32873, 32879, 25936, 25935, 37776, 37982, 33054, 33053, 33023, 33022, 25834, 25835, 25836, 33019, 33018, 33017, 32728, 32727, 19520, 19519, 19522, 19521, 37019, 32683, 32682, 32689, 32688, 32971, 32970, 32969, 32961, 32957, 32958, 21373, 21372, 21364, 21317, 21316, 21312, 21309, 21307, 21285, 21194, 21196, 21246, 21081, 21058, 21059, 21089, 21091, 21090, 21076, 21080, 21072, 21071, 21073, 21074, 20835, 20836, 37752, 20834, 20738, 20735, 20712, 20711, 20709, 20699, 20691, 20690, 20692, 20696, 20686, 20282, 20281, 20283, 20680, 20681, 20682, 20684, 20636, 20635, 20552, 20497, 431, 430, 432, 20504, 16114, 16113, 20356, 20355, 4662, 4661, 15613, 15612, 20340, 20346, 20172, 20059, 20058, 20075, 20074, 20076, 20073, 19712, 19711, 19719, 19720, 19705, 19695, 19692, 19370, 2772, 292, 291, 338, 337, 19624, 19623, 19337, 19336, 19327, 18941, 18946, 18945, 19307, 19308, 19306, 19310, 38718, 19112, 19254, 19275, 19262, 19104, 19103, 23659, 19084, 19083, 19145, 19094, 18820, 18818, 18686, 18514, 18513, 18512, 18140, 18141, 18144, 31004, 18142, 18115, 18114, 18113, 18107, 18106, 18108, 18098, 18097, 18096, 38805, 18095, 17897, 17896, 17895, 17774, 17723, 17724, 17725, 17302, 17283, 11963, 11962, 17223, 16934, 16933, 16929, 16875, 16877, 16878, 16866, 16865, 16781, 16786, 16778, 16163, 16171, 16757, 16051, 16050, 16052, 16053, 16036, 16037, 16038, 15669, 15654, 15649, 15648, 15543, 15544, 15381, 15377, 15364, 15359, 15269, 15270, 15271, 15232, 15229, 15228, 15214, 15213, 15162, 13756, 13755, 13823, 13736, 13738, 13739, 13740, 13741, 13742, 13743, 13735, 13734, 13528, 13526, 11223, 11222, 11220, 11175, 11176, 11177, 11190, 11189, 11186, 11122, 11108, 11107, 10900, 10902, 34641, 10839, 10838, 10843, 10842, 9426, 9425, 9427, 10406, 10405, 10392, 10288, 9333, 9328, 9268, 9272, 8070, 8004, 7913, 7912, 8005, 8011, 7898, 7900, 7997, 7816, 7673, 7674, 7807, 7785, 7784, 7730, 7732, 7779, 7777, 7583, 7558, 7552, 7554, 7544, 7543, 7546, 7542, 7536, 7462, 7461, 7465, 7144, 7135, 7132, 7108, 7111, 7094, 7095, 7081, 7080, 563, 561, 562, 567",663662,898696,,1.0255989442077462,Config15.txt
edge penalization,"1, 308, 309, 3, 4, 69, 33190, 33189, 33188, 33187, 33196, 33199, 33179, 33178, 33197, 33194, 33193, 33192, 33159, 33158, 33155, 33154, 32912, 32881, 32909, 32908, 32913, 33147, 32874, 32873, 32879, 25936, 25935, 37776, 37982, 33054, 33053, 33023, 33022, 25834, 25835, 25836, 33019, 33018, 33017, 32728, 32727, 19520, 19519, 19522, 19521, 37019, 32683, 32682, 32689, 32688, 32971, 32970, 32969, 32961, 32957, 32958, 21373, 21372, 21364, 21317, 21316, 21312, 21309, 21307, 21285, 21194, 21196, 21246, 21081, 21058, 21059, 21089, 21091, 21090, 21076, 21080, 21072, 21071, 21073, 21074, 20835, 20836, 37752, 20834, 20738, 20735, 20712, 20711, 20709, 20699, 20691, 20690, 20692, 20696, 20686, 20282, 20281, 20283, 20680, 20681, 20682, 20684, 20636, 20635, 20552, 20497, 431, 430, 432, 20504, 16114, 16113, 20356, 20355, 4662, 4661, 15613, 15612, 20340, 20346, 20172, 20059, 20058, 20075, 20074, 20076, 20073, 19712, 19711, 19719, 19720, 19705, 19695, 19692, 19370, 2772, 292, 291, 338, 337, 19624, 19623, 19337, 19336, 19327, 18941, 18946, 18945, 19307, 19308, 19306, 19310, 38718, 19112, 19254, 19275, 19262, 19104, 19103, 23659, 19084, 19083, 19145, 19094, 18820, 18818, 18686, 18514, 18513, 18512, 18140, 18141, 18144, 31004, 18142, 18115, 18114, 18113, 18107, 18106, 18108, 18098, 18097, 18096, 38805, 18095, 17897, 17896, 17895, 17774, 17723, 17724, 17725, 17302, 17283, 11963, 11962, 17223, 16934, 16933, 16929, 16875, 16877, 16878, 16866, 16865, 16781, 16786, 16778, 16163, 16171, 16757, 16051, 16050, 16052, 16053, 16036, 16037, 16038, 15669, 15654, 15649, 15648, 15543, 15544, 15381, 15377, 15364, 15359, 15269, 15270, 15271, 15232, 15229, 15228, 15214, 15213, 15162, 13756, 13755, 13823, 13736, 13738, 13739, 13740, 13741, 13742, 13743, 13735, 13734, 13528, 13526, 11223, 11222, 11220, 11175, 11176, 11177, 11190, 11189, 11186, 11122, 11108, 11107, 10900, 10902, 34641, 10839, 10838, 10843, 10842, 9426, 9425, 9427, 10406, 10405, 10392, 10288, 9333, 9328, 9268, 9272, 8070, 8004, 7913, 7912, 8005, 8011, 7898, 7900, 7997, 7816, 7673, 7674, 7807, 7785, 7784, 7730, 7732, 7779, 7777, 7583, 7558, 7552, 7554, 7544, 7543, 7546, 7542, 7536, 7462, 7461, 7465, 7144, 7135, 7132, 7108, 7111, 7094, 7095, 7081, 7080, 563, 561, 562, 567",663662,898696,,1.0255989442077462,Config15.txt
